Netweight (kg)	Trade Value (US$)
0	1111445
0	17920
0	10632
0	101204
0	145887
0	822770
0	12723
0	309
266997	7367989
12312	245938
50902	3574604
33828	1622610
73679	1356583
3000	178016
91089	389944
2187	294
0	664263
0	469657
0	23409
0	171197
864284	9038660
32722	598118
73413	2246394
6687	460399
37855	2144898
222667	1133339
9000	413387
481940	2042125
0	1534512
0	1090375
0	380002
0	63650
0	485
764712	10315504
76827	1482470
146365	3127016
4937	323674
59988	2733023
171245	1242037
303975	1380863
1375	26421
0	1052960
0	706643
0	291949
0	50059
0	4309
379050	6903489
5827	108668
132772	4728133
3562	253195
19500	1338851
1375	34369
207	9693
796	16623
215011	413957
401621	1041432
377023	734832
225	10135
10899	272765
13473	23700
772306	7114112
160	6877
215917	4853655
1636	149972
13114	1075199
18431	301292
523048	727117
8066	21590
2698	12560
5125	8455
243	575
5814	14217
3312	7600
2375	6263
127	354
8405	15760
2009	5574
6312	9859
84	327
5191	12991
5191	12991
44742	182735
1352	28495
43316	153165
74	1075
4091	12300
89	177
4002	12123
5309	43777
396	9081
10	74
3095	4887
1808	29734
106171	5296836
47	3449
33773	526665
281	151393
34320	1001081
2500	185095
2125	66149
2062	213792
832	67009
1500	388391
28729	2693659
2	153
0	5977
0	5977
348453	7216700
265187	1927720
300	138324
39378	1155243
1250	139408
1375	117945
7	1083
2187	183617
4437	169421
5000	1020645
29332	2363294
4960	20248
4875	19899
85	349
325955	8573462
145277	1498509
187	13386
115843	2103007
1146	83881
3250	322041
2187	94537
3062	287229
1187	63962
3645	1090486
32293	2867699
17878	148725
0	1220
0	1220
79333	6008936
17156	647373
28526	1449850
3000	155085
2687	237037
1750	78962
1750	134218
1250	70430
4562	1275055
18652	1960926
273213	1124047
3187	31067
270026	1092980
76245	6409054
7625	394547
25185	1576828
1698	81751
4204	410701
308	35001
5462	1667418
20763	2150401
11000	92407
105164	732105
460	29163
3725	3400
1425	28159
2940	26048
92508	557677
4106	87658
4620	71313
220	11268
1240	4391
10	1793
50	1402
3070	51145
30	1313
346135	3557129
4187	63436
16318	163214
2608	36153
72107	803238
91788	572905
1199	65511
130800	1354530
19312	137727
7812	360321
4	94
1473214	3653666
6875	100300
893	27309
774783	1595887
95884	491092
161999	282534
180525	827837
898	39038
250538	288849
819	820
0	1439877
0	806
0	1438962
0	109
1192900	3565692
3000	51259
1125	53526
10187	42026
886456	1752685
71397	368286
67335	446268
150795	709932
2500	141549
105	161
0	1433095
0	6740
0	1426355
229361	460037
3125	102500
185772	260609
2312	43479
38152	53449
3045353	5288780
3312	53497
8375	31664
2761260	3567665
23000	72232
77698	382918
89398	483253
79389	612080
2921	85471
0	1091329
0	1090931
0	398
199092	240566
180352	227327
18280	5039
460	8200
8863233	8497946
1857	2676
2800	40945
8625276	6879217
112800	485251
20400	59946
99100	1002883
900	20071
100	6958
	787452
2066	3635
	783817
140995	418339
132870	405319
8125	13020
0	3042160
0	21786
0	304598
0	18840
0	21652
0	29141
0	87628
0	11508
0	2465559
0	12477
0	54629
0	14342
50077	211310
39140	205000
10937	6310
0	2979579
0	82459
0	10850
0	14865
0	486599
0	2478
0	56193
0	35556
0	10334
0	47193
0	219143
0	512
0	1915111
0	15239
0	62216
0	20768
0	63
63354	354110
36640	269280
18714	82830
8000	2000
0	1657011
0	129153
0	27922
0	384908
0	56236
0	50979
0	56087
0	33954
0	49530
0	438507
0	9954
0	367724
0	2028
0	50029
2401	40497
2401	40497
	4156391
	696617
	233891
	35043
	541983
	529106
	15970
	859748
6155	276761
	741301
	140352
	85618
98900360	85731104
195	7959
29532688	29542692
6077479	2410338
660	57757
63276516	53411240
12062	280826
757	20290
0	110471992
0	31233928
0	2136299
0	105272
0	92057
0	76459960
0	241136
0	203339
0	135481392
0	1741
0	44323688
0	1397192
0	62741
0	89342528
0	201345
0	152169
0	184801
0	184801
8625	559699
5750	530699
2875	29000
177312468	107937829
56484344	38544868
3200316	303504
149579	91055
61469	37419
117286890	68881926
92213	56134
37656	22923
6062	47399
6062	47399
753	7781
717	7295
36	486
	111718363
488	858
	37157599
	857169
1332	59877
	6343
	73539683
	96833
3565	160280
3565	160280
38782	267500
5280	38100
33502	229400
0	135301
0	135301
0	160765
0	160765
25814	886432
10089	472067
9656	255768
1406	23490
312	8684
3777	101353
574	25070
667928	889175
83402	391611
1409	26545
7222	14050
207	5919
1003	13685
898	17488
572312	379254
952	32713
285	2050
238	5860
771	14807
332	2709
439	12098
0	186096
0	186096
30027	1041914
8566	332790
3570	96363
175	8633
1062	17897
343	1408
14749	565723
1562	19100
2975	59741
441	6071
1957	42990
218	1478
359	9202
23130	1022014
9346	468315
82	1203
1971	49446
774	33159
778	21320
9188	433052
991	15519
1204	20917
65	557
90	2259
1049	18100
210972	804574
132	2181
7226	317080
12147	273180
332	6156
3104	81319
308	1407
186702	93884
500	5990
330	20011
191	3366
0	10104
0	10104
0	199912
0	199888
0	24
	2211973
	2991
	1149678
	1059304
117859	1629989
32229	104333
15328	536805
3906	212172
11686	521524
988	15003
332	9235
1437	117423
51953	113494
93451	16185035
28230	1317474
50	3068
20	3717
93	142751
8496	1096449
1375	410392
1812	91804
187	16089
5425	128515
70	3996
60	7457
238	23723
484	31304
2394	350405
316	11305
44201	12546586
311176	4197162
61151	684786
111608	2073677
4187	208061
29433	79307
77124	708106
277	14093
2562	103744
1375	61615
347	14897
859	41983
1687	141296
20566	65597
99509	15623258
40175	1635309
48	71365
9437	1678964
2000	813489
1187	549708
30	5496
14082	3281756
32550	7587171
326277	3275090
68066	81427
10281	130176
93569	1703591
957	49062
23601	57761
119261	910270
988	57132
2500	123381
242	9310
1687	140610
5125	12370
107150	15360625
45968	1912431
2592	194311
5875	841682
800	420379
5125	1294835
14759	3670145
32031	7026842
190131	1928995
12	1061
6667	72151
890	36075
74733	859455
2687	96556
32851	70029
62019	520978
8937	177196
367	10610
238	38198
730	46686
89567	13271730
39760	1692227
51	55727
2492	433686
455	383161
1962	511504
17745	4187764
27102	6007661
200297	2340150
6114	114584
128376	1242275
9339	245976
49089	478583
6939	193640
440	65092
95139	15480474
26031	1344487
2624	727833
7768	1249125
1687	512595
437	28371
12578	310469
2	2127
359	39268
2062	171901
41591	11094298
0	952962
0	2526
0	606076
0	66124
0	258154
0	1136
0	1624
0	17240
0	82
0	473443
0	8941
0	288857
0	71143
0	78406
0	16448
0	9496
0	152
19552	417474
675	53608
847	32108
1187	18904
13250	269872
3593	42982
10009	156577
22	2166
425	12516
7250	117195
2312	24700
10307	172749
745	20310
9562	152439
2459	63292
48	859
500	5579
1911	56854
6981	113639
731	18107
6250	95532
4671	53151
2673	36405
680	515
918	11128
400	5103
3332	110245
3178	102615
125	4722
29	2908
5095	65111
382	9852
3749	44801
574	9927
390	531
2162	62098
2077	56643
85	5455
8236	106981
1437	21021
3566	47719
1100	1825
2045	35955
88	461
1131	27284
761	16139
222	5729
148	5416
7549	83037
3362	52479
1120	12489
2562	15043
117	2522
388	504
1112	22362
300	6256
503	7500
309	8606
5709	82992
546	10643
2190	30002
308	4956
261	524
1687	24676
621	12069
96	122
857	16139
103	1925
382	4670
80	1664
292	7880
0	23558160
0	3782
0	346316
0	23208062
0	28984078
0	344891
0	1015
0	14500
0	217112
0	28406560
0	8297
0	8297
0	33544608
0	380885
0	25288
0	20270
0	184608
0	32933556
0	30254810
0	502791
0	20696
0	6780
0	54708
0	29669835
3258	30918
732	14509
1046	6842
1279	8400
201	1168
32377374	28955301
607	388
1043	5582
184948	425742
13777	48534
10030	45429
32166969	28429626
20557	50099
7843	25765
7152	6329
5562	18005
44	3534
44	3534
5240	28465
1125	6029
2179	8760
1562	12820
167	516
207	340
2966	10272
722	2696
1625	6620
167	514
452	442
6202	31126
816	4802
3562	16661
1312	8669
12	679
500	315
10	22
10	22
0	15224972
0	10595
0	459356
0	1728384
0	945089
0	263649
0	100033
0	480147
0	1052975
0	821821
0	9362923
67280774	91474581
67260541	90567975
4500	179847
1562	53010
500	7499
671	49260
13000	616990
6719337	8686264
6708908	8624265
10429	61999
65983	3292050
39238	751970
746	73026
1250	126779
1125	95669
1312	87309
3735	818215
18577	1339082
0	14330421
0	172800
0	954512
0	544185
0	5495
0	61785
0	597560
0	702
0	1631133
0	1002
0	754833
0	9606414
67701818	91078213
67694756	90607663
3625	133040
3437	337510
6264057	8075170
6256406	8024212
7651	50958
23330	2649421
5750	363440
394	59406
2000	44503
2437	215313
1062	90095
2687	936801
9000	939863
0	10178454
0	33813
0	486107
0	272858
0	59578
0	537080
0	830424
0	704585
0	7254009
51810779	82649639
51792378	81911940
964	229805
14000	68812
3437	439082
0	7786991
0	7786991
0	2281435
0	49453
0	187391
0	28184
0	63345
0	232031
0	3160
0	30164
0	1139456
0	548251
0	11298572
0	81244
0	516255
0	123876
0	136977
0	289211
0	934443
0	9216566
57032789	87989529
57027120	87445632
125	41890
5500	501659
44	348
6437078	8356406
6437078	8356406
	2212400
2721	122337
	247398
3145	141393
25463	1144877
12446	556395
	11179483
	778670
12908	580385
569	25577
1334	60000
9157	411719
	721807
359710	8601325
	85932285
	85344842
1320	59332
11746	528111
6025678	7973802
6025678	7973802
19242	2417848
12312	711041
812	124794
593	65287
570	46044
1893	649025
3062	821657
2118435	7304037
34	524
707	42417
2750	87802
6124	277226
296	13527
7562	855737
398	24591
70	1935
