Location,Sequence name
Africa,EPI_ISL_379744|A/chicken/Egypt/FL6/2018|2018-08-01
Africa,EPI_ISL_405278|A/guinea_fowl/Nigeria/OG-GF11T_19VIR8424-7/2019_H5N8|2019-07-05
Africa,EPI_ISL_502280|A/chicken/Egypt/N15173D/2018|2018-02-05
Africa,EPI_ISL_503041|A/penguin/South_Africa/476266/2018|2018-03-01
Africa,EPI_ISL_503150|A/duck/Nigeria/SK28T_19VIR8424-2/2019|2019-06-30
Africa,EPI_ISL_503935|A/Teal/Dakahlia/VRLCU/2019|2019-06-18
Africa,EPI_ISL_505431|A/quail/South_Africa/AI5930/2018|2018-04-06
Africa,EPI_ISL_505432|A/chicken/South_Africa/499723/2018|2018-06-06
Africa,EPI_ISL_2276068|A/chicken/Senegal/21VIR1084-3/2021|2020-12-23
Africa,EPI_ISL_2276069|A/chicken/Senegal/21VIR1084-4/2021|2020-12-23
Africa,EPI_ISL_2276070|A/chicken/Senegal/21VIR1084-5/2021|2020-12-23
Africa,EPI_ISL_2276071|A/great-white_pelican/Senegal/21-67_21VIR1084-8/2021|2021-01-23
Africa,EPI_ISL_4061481|A/chicken/Nigeria/VRD21-43_21VIR2288-4/2021|2021-02-10
Africa,EPI_ISL_4061482|A/chicken/Nigeria/VRD21-035B_21VIR2288-1/2021|2021-02-05
Africa,EPI_ISL_4061483|A/chicken/Nigeria/VRD21-100_21VIR2370-423/2021|2021-03-01
Africa,EPI_ISL_4061484|A/chicken/Nigeria/VRD21-102_21VIR2370-424/2021|2021-03-01
Africa,EPI_ISL_4061485|A/chicken/Nigeria/VRD21-109_21VIR2370-425/2021|2021-03-01
Africa,EPI_ISL_4061486|A/chicken/Nigeria/VRD21-37_21VIR2288-2/2021|2021-02-05
Africa,EPI_ISL_4061488|A/chicken/Nigeria/VRD21-53B_21VIR2288-5/2021|2021-02-11
Africa,EPI_ISL_4061491|A/chicken/Nigeria/VRD21-98_21VIR2288-6/2021|2021-02-12
Africa,EPI_ISL_4061493|A/chicken/Egypt/rg-F192-VV/2020|2020-06-10
Africa,EPI_ISL_4061490|A/chicken/Nigeria/VRD21-88_21VIR2288-8/2021|2021-02-25
Africa,EPI_ISL_4069650|A/chicken/Egypt/N16732/2019|2019-02-21
Africa,EPI_ISL_4069651|A/duck/Egypt/N16719/2019|2019-02-21
Africa,EPI_ISL_4069652|A/chicken/Egypt/Q16711B/2019|2019-02-13
Africa,EPI_ISL_4069678|A/chicken/Egypt/Q16710C/2019|2019-02-13
Africa,EPI_ISL_4069710|A/chicken/Egypt/Q16711A/2019|2019-02-13
Africa,EPI_ISL_4069736|A/duck/Egypt/Q16716A/2019|2019-02-13
Africa,EPI_ISL_4069750|A/duck/Egypt/N16720/2019|2019-02-21
Africa,EPI_ISL_4069752|A/chicken/Egypt/N16730/2019|2019-02-21
Africa,EPI_ISL_4069765|A/chicken/Egypt/Q16807E/2019|2019-03-02
Africa,EPI_ISL_4069778|A/duck/Egypt/A16793/2019|2019-02-27
Africa,EPI_ISL_4070378|A/pigeon/Egypt/A16805/2019|2019-02-27
Africa,EPI_ISL_4070380|A/chicken/Egypt/Q16808B/2019|2019-03-02
Africa,EPI_ISL_4070608|A/chicken/Egypt/Q16710A/2019|2019-02-13
Africa,EPI_ISL_4070728|A/pigeon/Egypt/A16804/2019|2019-02-27
Africa,EPI_ISL_4070847|A/chicken/Egypt/F17230B/2019|2019-06-25
Africa,EPI_ISL_4070896|A/chicken/Egypt/F17230D/2019|2019-06-25
Africa,EPI_ISL_4070935|A/pigeon/Egypt/A16800/2019|2019-02-27
Africa,EPI_ISL_9572654|A/duck/Nigeria/VRD19-068DC019T_19RS1081-12/2019|2019-02-23
Africa,EPI_ISL_9572655|A/duck/Nigeria/VRD19-068DC004T_19RS1081-10/2019|2019-02-23
Africa,EPI_ISL_9572656|A/chicken/Nigeria/VRD-19-023_19RS1081-1/2019|2019-01-22
Africa,EPI_ISL_9572658|A/chicken/Nigeria/VRD-19-069_19RS1081-5/2019|2019-02-23
Africa,EPI_ISL_9572659|A/chicken/Nigeria/VRD-19-073_19RS1081-6/2019|2019-02-28
Africa,EPI_ISL_9594290|A/chicken/Egypt/A19670/2021|2021-02-10
Africa,EPI_ISL_9594292|A/chicken/Egypt/N15174C/2018|2018-02-05
Africa,EPI_ISL_9594299|A/chicken/Egypt/N15168C/2018|2018-02-05
Africa,EPI_ISL_9594311|A/chicken/Egypt/N15169A/2018|2018-02-05
Africa,EPI_ISL_10406912|rg_A/chicken/Egypt/Q16684C/2019|2019-01-30
Africa,EPI_ISL_11007542|A/chicken/Niger/22VIR1409-13/2022|2022-01-01
Africa,EPI_ISL_11007543|A/chicken/Niger/22VIR1409-23/2022|2022-01-01
Africa,EPI_ISL_11007544|A/quail/Niger/22VIR1409-28/2022|2022-01-01
Africa,EPI_ISL_11007546|A/chicken/Niger/22VIR1409-5/2022|2022-01-01
Africa,EPI_ISL_11007547|A/chicken/Niger/22VIR1409-9/2022|2022-01-01
Africa,EPI_ISL_12045918|A/Dove/Botswana/2097/2021|2021-08-18
Africa,EPI_ISL_12045919|A/Dove/Botswana/2334/2021|2021-09-13
Africa,EPI_ISL_12045920|A/fish_eagle/Botswana/1338/2021|2021-06-03
Africa,EPI_ISL_13048381|A/avian/Burkina_Faso/21VIR11911-1/2021|2021-12-08
Africa,EPI_ISL_13048382|A/avian/Burkina_Faso/21VIR11911-3/2021|2021-12-07
Africa,EPI_ISL_13048383|A/chicken/Burkina_Faso/21VIR11911-5/2021|2021-12-16
Africa,EPI_ISL_13957819|A/chicken/Mali/T1-177_22VIR6104-1/2022|2022-03-16
Africa,EPI_ISL_13957821|A/chicken/Mali/T2-178_22VIR6104-3/2022|2022-03-16
Africa,EPI_ISL_13957822|A/chicken/Mali/S3-179_22VIR6104-5/2022|2022-03-16
Africa,EPI_ISL_13957823|A/chicken/Mali/T4_180_22VIR6104-7/2022|2022-03-16
Africa,EPI_ISL_14224174|A/chicken/Egypt/Dakahlia_segment_4_HA_gene/2021|2021-03-03
Africa,EPI_ISL_14542488|A/chicken/South_Africa/26683/2021__H5N1_|2021-04-09
Africa,EPI_ISL_14542530|A/chicken/South_Africa/26700/2021__H5N1_|2021-04-19
Africa,EPI_ISL_14542586|A/chicken/South_Africa/690109/2021__mixed_|2021-04-26
Africa,EPI_ISL_14542831|A/chicken/South_Africa/UP01/2021__H5N1_|2021-05-01
Africa,EPI_ISL_14543004|A/chicken/South_Africa/21050090/2021__H5N1_|2021-05-06
Africa,EPI_ISL_14543005|A/chicken/South_Africa/21050118/2021__H5N1_|2021-05-07
Africa,EPI_ISL_14571452|A/chicken/South_Africa/21050119/2021__H5N1_|2021-05-07
Africa,EPI_ISL_14572124|A/chicken/South_Africa/21050125/2021__H5N1_|2021-05-08
Africa,EPI_ISL_14573036|A/chicken/South_Africa/690841/2021__H5N1_|2021-05-10
Africa,EPI_ISL_14573038|A/chicken/South_Africa/690813/2021__H5N1_|2021-05-10
Africa,EPI_ISL_14573053|A/chicken/South_Africa/UP481/2021__H5N1_|2021-05-10
