Location,lat,lon,lon_indx,lat_indx,Pelecaniformes1,Pelecaniformes2,Pelecaniformes3,Pelecaniformes4,Pelecaniformes5,Pelecaniformes6,Pelecaniformes7,Pelecaniformes8,Pelecaniformes9,Pelecaniformes10,Pelecaniformes11,Pelecaniformes12,Gruiformes1,Gruiformes2,Gruiformes3,Gruiformes4,Gruiformes5,Gruiformes6,Gruiformes7,Gruiformes8,Gruiformes9,Gruiformes10,Gruiformes11,Gruiformes12,Passeriformes1,Passeriformes2,Passeriformes3,Passeriformes4,Passeriformes5,Passeriformes6,Passeriformes7,Passeriformes8,Passeriformes9,Passeriformes10,Passeriformes11,Passeriformes12,Suliformes1,Suliformes2,Suliformes3,Suliformes4,Suliformes5,Suliformes6,Suliformes7,Suliformes8,Suliformes9,Suliformes10,Suliformes11,Suliformes12,Ciconiiformes1,Ciconiiformes2,Ciconiiformes3,Ciconiiformes4,Ciconiiformes5,Ciconiiformes6,Ciconiiformes7,Ciconiiformes8,Ciconiiformes9,Ciconiiformes10,Ciconiiformes11,Ciconiiformes12,Falconiformes1,Falconiformes2,Falconiformes3,Falconiformes4,Falconiformes5,Falconiformes6,Falconiformes7,Falconiformes8,Falconiformes9,Falconiformes10,Falconiformes11,Falconiformes12,Charadriiformes1,Charadriiformes2,Charadriiformes3,Charadriiformes4,Charadriiformes5,Charadriiformes6,Charadriiformes7,Charadriiformes8,Charadriiformes9,Charadriiformes10,Charadriiformes11,Charadriiformes12,Anseriformes1,Anseriformes2,Anseriformes3,Anseriformes4,Anseriformes5,Anseriformes6,Anseriformes7,Anseriformes8,Anseriformes9,Anseriformes10,Anseriformes11,Anseriformes12,Accipitriformes1,Accipitriformes2,Accipitriformes3,Accipitriformes4,Accipitriformes5,Accipitriformes6,Accipitriformes7,Accipitriformes8,Accipitriformes9,Accipitriformes10,Accipitriformes11,Accipitriformes12
Africa,8.026693,-7.546616,20694,9837,0.011,0.015,0.025,0.017,0.008,0.006,0.008,0.005,0.013,0.006,0.009,0.006,0.006,0.005,0.006,0.006,0.005,0.004,0.004,0.006,0.006,0.005,0.004,0.006,0.617,0.519,0.445,0.349,0.537,0.283,0.29,0.203,0.329,0.6,0.579,0.647,0.442,0.205,0.143,0.141,0.106,0.123,0.12,0.123,0.12,0.105,0.123,0.16,0.222,0.196,0.165,0.054,0.064,0.077,0.09,0.062,0.028,0.066,0.183,0.287,0.064,0.065,0.067,0.067,0.067,0.063,0.061,0.061,0.061,0.063,0.061,0.056,0.103,0.074,0.067,0.063,0.079,0.075,0.07,0.041,0.058,0.175,0.223,0.182,0.09,0.053,0.027,0.024,0.034,0.062,0.057,0.067,0.075,0.071,0.171,0.216,0.147,0.122,0.147,0.093,0.087,0.097,0.11,0.083,0.076,0.065,0.08,0.085
CA,25.52026,83.473704,31617,7738,0.031,0.025,0.037,0.025,0.024,0.02,0.01,0.007,0.006,0.081,0.023,0.029,0.055,0.095,0.013,0.016,0.012,0.013,0.011,0.013,0.012,0.011,0.058,0.129,0.438,0.555,0.596,0.469,0.342,0.398,0.121,0.125,0.193,0.607,0.491,0.444,0.152,0.134,0.127,0.275,0.249,0.236,0.237,0.225,0.101,0.096,0.258,0.283,0.606,0.671,0.565,0.491,0.195,0.022,0.009,0.01,0.083,0.451,0.568,0.661,0.24,0.302,0.341,0.49,0.451,0.45,0.562,0.314,0.26,0.308,0.406,0.619,0.239,0.466,0.42,0.344,0.287,0.162,0.052,0.062,0.086,0.237,0.573,0.625,0.422,0.5,0.127,0.064,0.059,0.042,0.045,0.042,0.034,0.068,0.335,0.395,0.213,0.131,0.305,0.121,0.087,0.041,0.403,0.329,0.227,0.306,0.212,0.172
Europe,49.512838,11.784004,23014,4858,0.022,0.021,0.022,0.046,0.067,0.056,0.062,0.094,0.053,0.042,0.036,0.019,0.06,0.051,0.08,0.173,0.186,0.173,0.16,0.069,0.101,0.151,0.075,0.078,0.473,0.524,0.499,0.52,0.353,0.404,0.345,0.343,0.346,0.366,0.4,0.378,0.286,0.25,0.172,0.157,0.155,0.122,0.136,0.137,0.136,0.133,0.136,0.239,0.033,0.035,0.022,0.021,0.028,0.113,0.124,0.11,0.048,0.033,0.034,0.029,0.065,0.062,0.063,0.067,0.068,0.066,0.062,0.062,0.068,0.068,0.068,0.068,0.013,0.013,0.049,0.083,0.123,0.156,0.088,0.094,0.133,0.106,0.048,0.014,0.1,0.098,0.205,0.253,0.178,0.213,0.222,0.222,0.195,0.288,0.304,0.128,0.239,0.191,0.281,0.272,0.304,0.359,0.418,0.357,0.308,0.303,0.337,0.391
JapanKorea,38.389548,140.234209,38428,6193,0.065,0.076,0.065,0.116,0.087,0.059,0.014,0.072,0.067,0.04,0.089,0.056,0.134,0.144,0.246,0.236,0.115,0.172,0.022,0.054,0.362,0.211,0.125,0.154,0.009,0.011,0.017,0.181,0.597,0.593,0.539,0.51,0.557,0.596,0.045,0.009,0.271,0.259,0.259,0.235,0.122,0.094,0.094,0.093,0.094,0.095,0.101,0.248,0.06,0.087,0.116,0.132,0.629,0.453,0.128,0.207,0.337,0.181,0.18,0.071,0.468,0.468,0.468,0.213,0.166,0.155,0.15,0.175,0.187,0.166,0.166,0.445,0.009,0.011,0.053,0.432,0.187,0.091,0.085,0.11,0.084,0.228,0.144,0.021,0.19,0.226,0.296,0.303,0.269,0.327,0.149,0.056,0.259,0.2,0.238,0.256,0.063,0.046,0.163,0.441,0.467,0.301,0.333,0.298,0.323,0.267,0.276,0.169
LA,-8.7832,55.4915,28259,11854,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044
Mongolia,47.953116,102.837314,33940,5046,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.005,0.089,0.017,0.023,0.028,0.014,0.017,0.122,0.005,0.004,0.047,0.049,0.037,0.066,0.542,0.551,0.493,0.571,0.494,0.042,0.038,0.048,0.262,0.262,0.273,0.486,0.238,0.223,0.209,0.208,0.221,0.273,0.262,0.262,0.01,0.01,0.041,0.058,0.07,0.202,0.283,0.253,0.077,0.07,0.022,0.01,0.209,0.209,0.209,0.209,0.239,0.306,0.357,0.102,0.264,0.209,0.209,0.209,0.006,0.006,0.006,0.055,0.514,0.747,0.564,0.531,0.406,0.024,0.006,0.006,0.045,0.042,0.056,0.265,0.438,0.4,0.232,0.291,0.342,0.312,0.045,0.042,0.004,0.004,0.004,0.031,0.406,0.593,0.537,0.505,0.351,0.055,0.003,0.003
NChina,38.273597,111.853957,35022,6207,0.002,0.002,0.002,0.004,0.002,0.003,0.006,0.006,0.002,0.002,0.002,0.002,0.018,0.503,0.579,0.387,0.045,0.093,0.025,0.044,0.104,0.254,0.506,0.129,0.033,0.032,0.064,0.445,0.485,0.444,0.193,0.255,0.544,0.442,0.033,0.032,0.273,0.273,0.273,0.239,0.414,0.217,0.184,0.138,0.172,0.238,0.262,0.262,0.028,0.046,0.052,0.06,0.225,0.23,0.353,0.49,0.358,0.054,0.066,0.032,0.209,0.209,0.209,0.239,0.247,0.281,0.114,0.076,0.112,0.239,0.209,0.209,0.008,0.006,0.041,0.421,0.306,0.287,0.138,0.183,0.457,0.369,0.014,0.007,0.047,0.08,0.398,0.478,0.304,0.267,0.117,0.133,0.26,0.468,0.322,0.07,0.004,0.008,0.029,0.245,0.727,0.563,0.318,0.218,0.537,0.386,0.021,0.003
Russia,57.00416,101.654804,33799,3960,0.013,0.012,0.011,0.01,0.03,0.021,0.015,0.019,0.024,0.011,0.012,0.013,0.003,0.002,0.003,0.02,0.038,0.076,0.048,0.069,0.037,0.029,0.003,0.003,0.077,0.121,0.135,0.236,0.588,0.567,0.557,0.626,0.394,0.306,0.097,0.065,0.504,0.532,0.552,0.528,0.274,0.125,0.11,0.123,0.146,0.522,0.525,0.501,0.046,0.043,0.029,0.026,0.026,0.034,0.093,0.081,0.046,0.026,0.04,0.051,0.17,0.153,0.153,0.149,0.062,0.063,0.062,0.068,0.062,0.147,0.171,0.17,0.002,0.001,0.001,0.007,0.045,0.08,0.051,0.084,0.053,0.006,0.001,0.002,0.032,0.028,0.026,0.061,0.185,0.168,0.124,0.1,0.193,0.067,0.027,0.034,0.015,0.013,0.012,0.124,0.238,0.307,0.451,0.416,0.313,0.107,0.014,0.015
SChina,24.044104,112.149584,35058,7915,0.025,0.047,0.037,0.015,0.011,0.006,0.029,0.006,0.068,0.111,0.023,0.021,0.076,0.332,0.132,0.117,0.018,0.012,0.018,0.018,0.026,0.018,0.098,0.094,0.336,0.506,0.506,0.46,0.148,0.123,0.301,0.291,0.588,0.693,0.596,0.489,0.099,0.099,0.136,0.1,0.097,0.097,0.097,0.097,0.094,0.094,0.099,0.104,0.298,0.436,0.503,0.146,0.029,0.04,0.037,0.034,0.297,0.417,0.52,0.317,0.284,0.214,0.174,0.281,0.24,0.266,0.266,0.266,0.266,0.179,0.197,0.233,0.312,0.361,0.211,0.11,0.108,0.091,0.072,0.082,0.17,0.132,0.143,0.306,0.383,0.216,0.215,0.195,0.056,0.04,0.033,0.027,0.048,0.157,0.335,0.366,0.106,0.172,0.178,0.271,0.406,0.359,0.161,0.131,0.379,0.318,0.188,0.134
SEA,13.74395,102.366493,33884,9151,0.044,0.024,0.023,0.014,0.016,0.004,0.005,0.004,0.004,0.007,0.05,0.046,0.018,0.01,0.015,0.024,0.014,0.013,0.013,0.02,0.022,0.022,0.013,0.01,0.542,0.474,0.5,0.58,0.253,0.238,0.197,0.147,0.11,0.33,0.603,0.617,0.22,0.209,0.207,0.198,0.129,0.113,0.11,0.095,0.094,0.094,0.094,0.166,0.59,0.36,0.32,0.21,0.053,0.036,0.074,0.073,0.031,0.087,0.492,0.664,0.428,0.623,0.647,0.275,0.254,0.254,0.254,0.254,0.254,0.254,0.287,0.255,0.619,0.524,0.206,0.163,0.145,0.227,0.171,0.205,0.205,0.279,0.371,0.655,0.152,0.071,0.055,0.065,0.074,0.043,0.062,0.057,0.051,0.061,0.117,0.318,0.274,0.391,0.285,0.18,0.158,0.14,0.272,0.322,0.297,0.285,0.32,0.246
