,index,od,year,month,counts
0,1,Europe-Africa,2011.0,Jun,1
1,0,Europe-Africa,2011.0,Dec,1
2,2,Europe-Africa,2013.0,Jan,1
3,5,Europe-Africa,2014.0,Sep,3
4,4,Europe-Africa,2014.0,Oct,2
5,3,Europe-Africa,2014.0,Nov,1
6,6,Europe-Africa,2015.0,Aug,1
7,8,Europe-Africa,2015.0,Nov,7
8,7,Europe-Africa,2015.0,Dec,24
9,13,Europe-Africa,2016.0,Jan,49
10,12,Europe-Africa,2016.0,Feb,31
11,16,Europe-Africa,2016.0,Mar,2
12,9,Europe-Africa,2016.0,Apr,2
13,17,Europe-Africa,2016.0,May,21
14,15,Europe-Africa,2016.0,Jun,155
15,14,Europe-Africa,2016.0,Jul,895
16,10,Europe-Africa,2016.0,Aug,2775
17,20,Europe-Africa,2016.0,Sep,4840
18,19,Europe-Africa,2016.0,Oct,7681
19,18,Europe-Africa,2016.0,Nov,8414
20,11,Europe-Africa,2016.0,Dec,133
21,24,Europe-Africa,2017.0,Jan,3
22,23,Europe-Africa,2017.0,Feb,3
23,26,Europe-Africa,2017.0,Mar,3
24,21,Europe-Africa,2017.0,Apr,5
25,27,Europe-Africa,2017.0,May,1
26,25,Europe-Africa,2017.0,Jun,4
27,22,Europe-Africa,2017.0,Aug,1
28,28,Europe-Africa,2017.0,Sep,2
29,29,Europe-CA,2009.0,Apr,1
30,30,Europe-CA,2009.0,Aug,1
31,31,Europe-CA,2010.0,Aug,1
32,33,Europe-CA,2011.0,Sep,1
33,32,Europe-CA,2011.0,Oct,1
34,34,Europe-CA,2013.0,Jun,1
35,38,Europe-CA,2014.0,Jun,1
36,37,Europe-CA,2014.0,Jul,1
37,35,Europe-CA,2014.0,Aug,3
38,41,Europe-CA,2014.0,Sep,6
39,40,Europe-CA,2014.0,Oct,5
40,39,Europe-CA,2014.0,Nov,1
41,36,Europe-CA,2014.0,Dec,5
42,43,Europe-CA,2015.0,Jul,1
43,46,Europe-CA,2015.0,Sep,7
44,45,Europe-CA,2015.0,Oct,29
45,44,Europe-CA,2015.0,Nov,77
46,42,Europe-CA,2015.0,Dec,301
47,51,Europe-CA,2016.0,Jan,516
48,50,Europe-CA,2016.0,Feb,421
49,54,Europe-CA,2016.0,Mar,517
50,47,Europe-CA,2016.0,Apr,1795
51,55,Europe-CA,2016.0,May,5996
52,53,Europe-CA,2016.0,Jun,11968
53,52,Europe-CA,2016.0,Jul,19429
54,48,Europe-CA,2016.0,Aug,28673
55,58,Europe-CA,2016.0,Sep,39795
56,57,Europe-CA,2016.0,Oct,26909
57,56,Europe-CA,2016.0,Nov,105
58,49,Europe-CA,2016.0,Dec,4
59,62,Europe-CA,2017.0,Jan,5
60,61,Europe-CA,2017.0,Feb,13
61,65,Europe-CA,2017.0,Mar,16
62,59,Europe-CA,2017.0,Apr,15
63,66,Europe-CA,2017.0,May,9
64,64,Europe-CA,2017.0,Jun,3
65,63,Europe-CA,2017.0,Jul,10
66,60,Europe-CA,2017.0,Aug,6
67,67,Europe-JapanKorea,2005.0,Aug,1
68,70,Europe-JapanKorea,2006.0,Sep,1
69,69,Europe-JapanKorea,2006.0,Nov,1
70,68,Europe-JapanKorea,2006.0,Dec,1
71,74,Europe-JapanKorea,2007.0,Jan,1
72,73,Europe-JapanKorea,2007.0,Feb,1
73,71,Europe-JapanKorea,2007.0,Aug,1
74,75,Europe-JapanKorea,2007.0,Nov,1
75,72,Europe-JapanKorea,2007.0,Dec,3
