,index,od,year,month,counts
0,0,Africa-Europe,2011.0,Apr,1
1,1,Africa-Europe,2011.0,Jun,1
2,3,Africa-Europe,2012.0,Sep,1
3,2,Africa-Europe,2012.0,Dec,2
4,5,Africa-Europe,2013.0,Feb,1
5,6,Africa-Europe,2013.0,Oct,1
6,4,Africa-Europe,2013.0,Dec,1
7,9,Africa-Europe,2014.0,Feb,1
8,12,Africa-Europe,2014.0,Mar,1
9,13,Africa-Europe,2014.0,May,1
10,11,Africa-Europe,2014.0,Jun,2
11,10,Africa-Europe,2014.0,Jul,2
12,7,Africa-Europe,2014.0,Aug,1
13,16,Africa-Europe,2014.0,Sep,2
14,15,Africa-Europe,2014.0,Oct,2
15,14,Africa-Europe,2014.0,Nov,4
16,8,Africa-Europe,2014.0,Dec,1
17,20,Africa-Europe,2015.0,Jan,1
18,23,Africa-Europe,2015.0,Mar,2
19,17,Africa-Europe,2015.0,Apr,2
20,24,Africa-Europe,2015.0,May,1
21,22,Africa-Europe,2015.0,Jun,2
22,21,Africa-Europe,2015.0,Jul,4
23,18,Africa-Europe,2015.0,Aug,1
24,27,Africa-Europe,2015.0,Sep,4
25,26,Africa-Europe,2015.0,Oct,2
26,25,Africa-Europe,2015.0,Nov,3
27,19,Africa-Europe,2015.0,Dec,2
28,32,Africa-Europe,2016.0,Jan,1
29,31,Africa-Europe,2016.0,Feb,1
30,35,Africa-Europe,2016.0,Mar,3
31,28,Africa-Europe,2016.0,Apr,6
32,36,Africa-Europe,2016.0,May,9
33,34,Africa-Europe,2016.0,Jun,6
34,33,Africa-Europe,2016.0,Jul,10
35,29,Africa-Europe,2016.0,Aug,19
36,39,Africa-Europe,2016.0,Sep,33
37,38,Africa-Europe,2016.0,Oct,54
38,37,Africa-Europe,2016.0,Nov,66
39,30,Africa-Europe,2016.0,Dec,79
40,44,Africa-Europe,2017.0,Jan,114
41,43,Africa-Europe,2017.0,Feb,94
42,47,Africa-Europe,2017.0,Mar,159
43,40,Africa-Europe,2017.0,Apr,192
44,48,Africa-Europe,2017.0,May,146
45,46,Africa-Europe,2017.0,Jun,112
46,45,Africa-Europe,2017.0,Jul,77
47,41,Africa-Europe,2017.0,Aug,51
48,51,Africa-Europe,2017.0,Sep,46
49,50,Africa-Europe,2017.0,Oct,45
50,49,Africa-Europe,2017.0,Nov,32
51,42,Africa-Europe,2017.0,Dec,28
52,56,Africa-Europe,2018.0,Jan,18
53,55,Africa-Europe,2018.0,Feb,20
54,59,Africa-Europe,2018.0,Mar,18
55,52,Africa-Europe,2018.0,Apr,16
56,60,Africa-Europe,2018.0,May,15
57,58,Africa-Europe,2018.0,Jun,26
58,57,Africa-Europe,2018.0,Jul,20
59,53,Africa-Europe,2018.0,Aug,15
60,63,Africa-Europe,2018.0,Sep,18
61,62,Africa-Europe,2018.0,Oct,18
62,61,Africa-Europe,2018.0,Nov,18
63,54,Africa-Europe,2018.0,Dec,33
64,68,Africa-Europe,2019.0,Jan,94
65,67,Africa-Europe,2019.0,Feb,141
66,71,Africa-Europe,2019.0,Mar,220
67,64,Africa-Europe,2019.0,Apr,324
68,72,Africa-Europe,2019.0,May,332
69,70,Africa-Europe,2019.0,Jun,384
70,69,Africa-Europe,2019.0,Jul,347
71,65,Africa-Europe,2019.0,Aug,322
72,75,Africa-Europe,2019.0,Sep,215
73,74,Africa-Europe,2019.0,Oct,84
74,73,Africa-Europe,2019.0,Nov,27
75,66,Africa-Europe,2019.0,Dec,4
76,79,Africa-Europe,2020.0,Jan,4
77,78,Africa-Europe,2020.0,Feb,3
78,81,Africa-Europe,2020.0,Mar,2
79,82,Africa-Europe,2020.0,May,3
80,80,Africa-Europe,2020.0,Jul,1
81,76,Africa-Europe,2020.0,Aug,1
82,85,Africa-Europe,2020.0,Sep,48
83,84,Africa-Europe,2020.0,Oct,213
84,83,Africa-Europe,2020.0,Nov,83
85,77,Africa-Europe,2020.0,Dec,991
86,90,Africa-Europe,2021.0,Jan,3185
87,89,Africa-Europe,2021.0,Feb,158
88,93,Africa-Europe,2021.0,Mar,14
89,86,Africa-Europe,2021.0,Apr,4
90,94,Africa-Europe,2021.0,May,8
91,92,Africa-Europe,2021.0,Jun,5
92,91,Africa-Europe,2021.0,Jul,8
93,87,Africa-Europe,2021.0,Aug,2
94,97,Africa-Europe,2021.0,Sep,4
95,96,Africa-Europe,2021.0,Oct,14
96,95,Africa-Europe,2021.0,Nov,18
97,88,Africa-Europe,2021.0,Dec,7
98,102,Africa-Europe,2022.0,Jan,11
99,101,Africa-Europe,2022.0,Feb,5
100,105,Africa-Europe,2022.0,Mar,4
101,98,Africa-Europe,2022.0,Apr,3
102,106,Africa-Europe,2022.0,May,6
103,104,Africa-Europe,2022.0,Jun,5
104,103,Africa-Europe,2022.0,Jul,3
105,99,Africa-Europe,2022.0,Aug,2
106,109,Africa-Europe,2022.0,Sep,11
107,108,Africa-Europe,2022.0,Oct,3
108,107,Africa-Europe,2022.0,Nov,3
109,100,Africa-Europe,2022.0,Dec,3
110,111,Africa-Europe,2023.0,Jan,4
111,110,Africa-Europe,2023.0,Feb,2
112,112,Africa-Europe,2023.0,May,1
113,116,Africa-Russia,2009.0,Jan,1
114,113,Africa-Russia,2009.0,Apr,1
115,117,Africa-Russia,2009.0,Jun,1
116,114,Africa-Russia,2009.0,Aug,1
117,118,Africa-Russia,2009.0,Oct,1
118,115,Africa-Russia,2009.0,Dec,1
119,119,Africa-Russia,2010.0,Apr,1
120,121,Africa-Russia,2010.0,May,1
121,120,Africa-Russia,2010.0,Aug,2
122,122,Africa-Russia,2010.0,Sep,2
123,125,Africa-Russia,2011.0,Feb,3
124,128,Africa-Russia,2011.0,Mar,1
125,129,Africa-Russia,2011.0,May,3
126,127,Africa-Russia,2011.0,Jun,2
127,126,Africa-Russia,2011.0,Jul,3
128,123,Africa-Russia,2011.0,Aug,2
129,131,Africa-Russia,2011.0,Sep,2
130,130,Africa-Russia,2011.0,Nov,4
131,124,Africa-Russia,2011.0,Dec,1
132,135,Africa-Russia,2012.0,Jan,1
133,134,Africa-Russia,2012.0,Feb,1
134,138,Africa-Russia,2012.0,Mar,3
135,132,Africa-Russia,2012.0,Apr,2
136,139,Africa-Russia,2012.0,May,4
137,137,Africa-Russia,2012.0,Jun,4
138,136,Africa-Russia,2012.0,Jul,2
139,133,Africa-Russia,2012.0,Aug,1
140,141,Africa-Russia,2012.0,Sep,2
141,140,Africa-Russia,2012.0,Oct,1
142,146,Africa-Russia,2013.0,Jan,2
143,145,Africa-Russia,2013.0,Feb,1
144,149,Africa-Russia,2013.0,Mar,2
145,142,Africa-Russia,2013.0,Apr,1
146,150,Africa-Russia,2013.0,May,4
147,148,Africa-Russia,2013.0,Jun,3
148,147,Africa-Russia,2013.0,Jul,2
149,143,Africa-Russia,2013.0,Aug,1
150,153,Africa-Russia,2013.0,Sep,2
151,152,Africa-Russia,2013.0,Oct,1
152,151,Africa-Russia,2013.0,Nov,1
153,144,Africa-Russia,2013.0,Dec,2
154,158,Africa-Russia,2014.0,Jan,2
155,157,Africa-Russia,2014.0,Feb,2
156,161,Africa-Russia,2014.0,Mar,2
157,154,Africa-Russia,2014.0,Apr,3
158,162,Africa-Russia,2014.0,May,5
159,160,Africa-Russia,2014.0,Jun,1
160,159,Africa-Russia,2014.0,Jul,4
161,155,Africa-Russia,2014.0,Aug,2
162,164,Africa-Russia,2014.0,Sep,3
163,163,Africa-Russia,2014.0,Nov,5
164,156,Africa-Russia,2014.0,Dec,2
165,169,Africa-Russia,2015.0,Jan,3
166,168,Africa-Russia,2015.0,Feb,1
167,172,Africa-Russia,2015.0,Mar,6
168,165,Africa-Russia,2015.0,Apr,4
169,173,Africa-Russia,2015.0,May,8
170,171,Africa-Russia,2015.0,Jun,5
171,170,Africa-Russia,2015.0,Jul,2
172,166,Africa-Russia,2015.0,Aug,7
173,176,Africa-Russia,2015.0,Sep,4
174,175,Africa-Russia,2015.0,Oct,4
175,174,Africa-Russia,2015.0,Nov,4
176,167,Africa-Russia,2015.0,Dec,3
177,181,Africa-Russia,2016.0,Jan,9
178,180,Africa-Russia,2016.0,Feb,7
179,184,Africa-Russia,2016.0,Mar,10
180,177,Africa-Russia,2016.0,Apr,8
181,185,Africa-Russia,2016.0,May,11
182,183,Africa-Russia,2016.0,Jun,21
183,182,Africa-Russia,2016.0,Jul,16
184,178,Africa-Russia,2016.0,Aug,50
185,188,Africa-Russia,2016.0,Sep,65
186,187,Africa-Russia,2016.0,Oct,91
187,186,Africa-Russia,2016.0,Nov,127
188,179,Africa-Russia,2016.0,Dec,154
189,193,Africa-Russia,2017.0,Jan,151
190,192,Africa-Russia,2017.0,Feb,141
191,196,Africa-Russia,2017.0,Mar,162
192,189,Africa-Russia,2017.0,Apr,196
193,197,Africa-Russia,2017.0,May,238
194,195,Africa-Russia,2017.0,Jun,316
195,194,Africa-Russia,2017.0,Jul,353
196,190,Africa-Russia,2017.0,Aug,466
197,200,Africa-Russia,2017.0,Sep,500
198,199,Africa-Russia,2017.0,Oct,566
199,198,Africa-Russia,2017.0,Nov,561
200,191,Africa-Russia,2017.0,Dec,605
201,205,Africa-Russia,2018.0,Jan,632
202,204,Africa-Russia,2018.0,Feb,462
203,208,Africa-Russia,2018.0,Mar,297
204,201,Africa-Russia,2018.0,Apr,72
205,209,Africa-Russia,2018.0,May,60
206,207,Africa-Russia,2018.0,Jun,43
207,206,Africa-Russia,2018.0,Jul,60
208,202,Africa-Russia,2018.0,Aug,68
209,212,Africa-Russia,2018.0,Sep,89
210,211,Africa-Russia,2018.0,Oct,69
211,210,Africa-Russia,2018.0,Nov,67
212,203,Africa-Russia,2018.0,Dec,106
213,217,Africa-Russia,2019.0,Jan,190
214,216,Africa-Russia,2019.0,Feb,318
215,220,Africa-Russia,2019.0,Mar,455
216,213,Africa-Russia,2019.0,Apr,524
217,221,Africa-Russia,2019.0,May,652
218,219,Africa-Russia,2019.0,Jun,571
219,218,Africa-Russia,2019.0,Jul,558
220,214,Africa-Russia,2019.0,Aug,437
221,224,Africa-Russia,2019.0,Sep,344
222,223,Africa-Russia,2019.0,Oct,314
223,222,Africa-Russia,2019.0,Nov,407
224,215,Africa-Russia,2019.0,Dec,690
225,229,Africa-Russia,2020.0,Jan,1261
226,228,Africa-Russia,2020.0,Feb,1168
227,232,Africa-Russia,2020.0,Mar,603
228,225,Africa-Russia,2020.0,Apr,149
229,233,Africa-Russia,2020.0,May,17
230,231,Africa-Russia,2020.0,Jun,7
231,230,Africa-Russia,2020.0,Jul,7
232,226,Africa-Russia,2020.0,Aug,3
233,236,Africa-Russia,2020.0,Sep,19
234,235,Africa-Russia,2020.0,Oct,38
235,234,Africa-Russia,2020.0,Nov,178
236,227,Africa-Russia,2020.0,Dec,1650
237,241,Africa-Russia,2021.0,Jan,3660
238,240,Africa-Russia,2021.0,Feb,2614
239,244,Africa-Russia,2021.0,Mar,1309
240,237,Africa-Russia,2021.0,Apr,766
241,245,Africa-Russia,2021.0,May,736
242,243,Africa-Russia,2021.0,Jun,731
243,242,Africa-Russia,2021.0,Jul,907
244,238,Africa-Russia,2021.0,Aug,849
245,248,Africa-Russia,2021.0,Sep,469
246,247,Africa-Russia,2021.0,Oct,21
247,246,Africa-Russia,2021.0,Nov,43
248,239,Africa-Russia,2021.0,Dec,65
249,252,Africa-Russia,2022.0,Jan,196
250,251,Africa-Russia,2022.0,Feb,264
251,255,Africa-Russia,2022.0,Mar,87
252,249,Africa-Russia,2022.0,Apr,7
253,256,Africa-Russia,2022.0,May,5
254,254,Africa-Russia,2022.0,Jun,5
255,253,Africa-Russia,2022.0,Jul,1
256,250,Africa-Russia,2022.0,Aug,3
257,259,Africa-Russia,2022.0,Sep,2
258,258,Africa-Russia,2022.0,Oct,1
259,257,Africa-Russia,2022.0,Nov,1
260,260,Africa-Russia,2023.0,Jan,1
261,263,CA-JapanKorea,2009.0,Mar,1
262,261,CA-JapanKorea,2009.0,Aug,1
263,264,CA-JapanKorea,2009.0,Oct,1
264,262,CA-JapanKorea,2009.0,Dec,1
265,265,CA-JapanKorea,2010.0,Sep,1
266,266,CA-JapanKorea,2011.0,Apr,1
267,269,CA-JapanKorea,2011.0,May,2
268,268,CA-JapanKorea,2011.0,Jun,1
269,267,CA-JapanKorea,2011.0,Jul,2
270,271,CA-JapanKorea,2011.0,Sep,1
271,270,CA-JapanKorea,2011.0,Oct,1
272,274,CA-JapanKorea,2012.0,Mar,2
273,275,CA-JapanKorea,2012.0,May,1
274,273,CA-JapanKorea,2012.0,Jun,2
275,277,CA-JapanKorea,2012.0,Sep,1
276,276,CA-JapanKorea,2012.0,Nov,2
277,272,CA-JapanKorea,2012.0,Dec,1
278,280,CA-JapanKorea,2013.0,Jan,1
279,281,CA-JapanKorea,2013.0,May,1
280,278,CA-JapanKorea,2013.0,Aug,3
281,282,CA-JapanKorea,2013.0,Nov,1
282,279,CA-JapanKorea,2013.0,Dec,1
283,286,CA-JapanKorea,2014.0,Jan,1
284,285,CA-JapanKorea,2014.0,Feb,1
285,288,CA-JapanKorea,2014.0,Mar,1
286,283,CA-JapanKorea,2014.0,Apr,2
287,287,CA-JapanKorea,2014.0,Jun,2
288,284,CA-JapanKorea,2014.0,Aug,1
289,289,CA-JapanKorea,2014.0,Oct,1
290,291,CA-JapanKorea,2015.0,Mar,1
291,292,CA-JapanKorea,2015.0,May,1
292,290,CA-JapanKorea,2015.0,Jun,1
293,293,CA-JapanKorea,2017.0,Apr,1
294,298,CA-JapanKorea,2017.0,May,1
295,297,CA-JapanKorea,2017.0,Jun,1
296,296,CA-JapanKorea,2017.0,Jul,1
297,294,CA-JapanKorea,2017.0,Aug,2
298,300,CA-JapanKorea,2017.0,Oct,1
299,299,CA-JapanKorea,2017.0,Nov,2
300,295,CA-JapanKorea,2017.0,Dec,3
301,301,CA-JapanKorea,2018.0,Apr,1
302,305,CA-JapanKorea,2018.0,May,7
303,304,CA-JapanKorea,2018.0,Jun,3
304,303,CA-JapanKorea,2018.0,Jul,7
305,302,CA-JapanKorea,2018.0,Aug,7
306,308,CA-JapanKorea,2018.0,Sep,9
307,307,CA-JapanKorea,2018.0,Oct,16
308,306,CA-JapanKorea,2018.0,Nov,5
309,309,CA-JapanKorea,2019.0,Nov,1
310,311,CA-JapanKorea,2020.0,Jan,1
311,312,CA-JapanKorea,2020.0,Jun,1
312,315,CA-JapanKorea,2020.0,Sep,1
313,314,CA-JapanKorea,2020.0,Oct,3
314,313,CA-JapanKorea,2020.0,Nov,7
315,310,CA-JapanKorea,2020.0,Dec,8
316,320,CA-JapanKorea,2021.0,Jan,16
317,319,CA-JapanKorea,2021.0,Feb,46
318,323,CA-JapanKorea,2021.0,Mar,281
319,316,CA-JapanKorea,2021.0,Apr,891
320,324,CA-JapanKorea,2021.0,May,1384
321,322,CA-JapanKorea,2021.0,Jun,899
322,321,CA-JapanKorea,2021.0,Jul,233
323,317,CA-JapanKorea,2021.0,Aug,19
324,327,CA-JapanKorea,2021.0,Sep,18
325,326,CA-JapanKorea,2021.0,Oct,30
326,325,CA-JapanKorea,2021.0,Nov,25
327,318,CA-JapanKorea,2021.0,Dec,6
328,328,CA-JapanKorea,2022.0,Jan,3
329,330,CA-JapanKorea,2022.0,Mar,1
330,331,CA-JapanKorea,2022.0,May,2
331,329,CA-JapanKorea,2022.0,Jul,2
332,333,CA-JapanKorea,2022.0,Sep,2
333,332,CA-JapanKorea,2022.0,Oct,5
334,334,CA-Mongolia,2012.0,Apr,1
335,336,CA-Mongolia,2012.0,Jun,1
336,337,CA-Mongolia,2012.0,Nov,1
337,335,CA-Mongolia,2012.0,Dec,2
338,339,CA-Mongolia,2013.0,Jan,1
339,338,CA-Mongolia,2013.0,Feb,1
340,341,CA-Mongolia,2013.0,Jun,1
341,340,CA-Mongolia,2013.0,Jul,1
342,342,CA-Mongolia,2013.0,Nov,1
343,345,CA-Mongolia,2014.0,Mar,1
344,344,CA-Mongolia,2014.0,Jun,1
345,346,CA-Mongolia,2014.0,Sep,1
346,343,CA-Mongolia,2014.0,Dec,1
347,347,CA-Mongolia,2015.0,Apr,1
348,348,CA-Mongolia,2015.0,Jun,1
349,349,CA-Mongolia,2015.0,Sep,1
350,350,CA-Mongolia,2017.0,Dec,1
351,354,CA-Mongolia,2018.0,Feb,4
352,357,CA-Mongolia,2018.0,Mar,10
353,351,CA-Mongolia,2018.0,Apr,29
354,358,CA-Mongolia,2018.0,May,172
355,356,CA-Mongolia,2018.0,Jun,533
356,355,CA-Mongolia,2018.0,Jul,1413
357,352,CA-Mongolia,2018.0,Aug,1589
358,361,CA-Mongolia,2018.0,Sep,177
359,360,CA-Mongolia,2018.0,Oct,5
360,359,CA-Mongolia,2018.0,Nov,5
361,353,CA-Mongolia,2018.0,Dec,10
362,366,CA-Mongolia,2019.0,Jan,6
363,365,CA-Mongolia,2019.0,Feb,5
364,369,CA-Mongolia,2019.0,Mar,11
365,362,CA-Mongolia,2019.0,Apr,4
366,370,CA-Mongolia,2019.0,May,7
367,368,CA-Mongolia,2019.0,Jun,6
368,367,CA-Mongolia,2019.0,Jul,3
369,363,CA-Mongolia,2019.0,Aug,1
370,373,CA-Mongolia,2019.0,Sep,4
371,372,CA-Mongolia,2019.0,Oct,40
372,371,CA-Mongolia,2019.0,Nov,277
373,364,CA-Mongolia,2019.0,Dec,2148
374,377,CA-Mongolia,2020.0,Jan,5572
375,376,CA-Mongolia,2020.0,Feb,3345
376,378,CA-Mongolia,2020.0,Mar,2812
377,374,CA-Mongolia,2020.0,Apr,404
378,375,CA-Mongolia,2020.0,Dec,1
379,382,CA-Mongolia,2021.0,Jan,5
380,381,CA-Mongolia,2021.0,Feb,5
381,385,CA-Mongolia,2021.0,Mar,20
382,379,CA-Mongolia,2021.0,Apr,56
383,386,CA-Mongolia,2021.0,May,59
384,384,CA-Mongolia,2021.0,Jun,26
385,383,CA-Mongolia,2021.0,Jul,3
386,387,CA-Mongolia,2021.0,Sep,1
387,380,CA-Mongolia,2021.0,Dec,1
388,389,Europe-Africa,2009.0,May,1
389,388,Europe-Africa,2009.0,Dec,1
390,392,Europe-Africa,2010.0,Feb,1
391,394,Europe-Africa,2010.0,Mar,2
392,390,Europe-Africa,2010.0,Apr,2
393,393,Europe-Africa,2010.0,Jun,2
394,395,Europe-Africa,2010.0,Sep,1
395,391,Europe-Africa,2010.0,Dec,2
396,396,Europe-Africa,2011.0,Apr,3
397,399,Europe-Africa,2011.0,May,1
398,398,Europe-Africa,2011.0,Jul,2
399,397,Europe-Africa,2011.0,Aug,4
400,402,Europe-Africa,2011.0,Sep,3
401,401,Europe-Africa,2011.0,Oct,2
402,400,Europe-Africa,2011.0,Nov,2
403,405,Europe-Africa,2012.0,Jan,3
404,408,Europe-Africa,2012.0,Mar,4
405,409,Europe-Africa,2012.0,May,5
406,407,Europe-Africa,2012.0,Jun,3
407,406,Europe-Africa,2012.0,Jul,3
408,403,Europe-Africa,2012.0,Aug,5
409,412,Europe-Africa,2012.0,Sep,3
410,411,Europe-Africa,2012.0,Oct,4
411,410,Europe-Africa,2012.0,Nov,7
412,404,Europe-Africa,2012.0,Dec,4
413,417,Europe-Africa,2013.0,Jan,4
414,416,Europe-Africa,2013.0,Feb,9
415,420,Europe-Africa,2013.0,Mar,5
416,413,Europe-Africa,2013.0,Apr,13
417,421,Europe-Africa,2013.0,May,6
418,419,Europe-Africa,2013.0,Jun,8
419,418,Europe-Africa,2013.0,Jul,6
420,414,Europe-Africa,2013.0,Aug,11
421,424,Europe-Africa,2013.0,Sep,13
422,423,Europe-Africa,2013.0,Oct,8
423,422,Europe-Africa,2013.0,Nov,9
424,415,Europe-Africa,2013.0,Dec,18
425,429,Europe-Africa,2014.0,Jan,8
426,428,Europe-Africa,2014.0,Feb,15
427,432,Europe-Africa,2014.0,Mar,17
428,425,Europe-Africa,2014.0,Apr,19
429,433,Europe-Africa,2014.0,May,23
430,431,Europe-Africa,2014.0,Jun,11
431,430,Europe-Africa,2014.0,Jul,17
432,426,Europe-Africa,2014.0,Aug,19
433,436,Europe-Africa,2014.0,Sep,20
434,435,Europe-Africa,2014.0,Oct,31
435,434,Europe-Africa,2014.0,Nov,28
436,427,Europe-Africa,2014.0,Dec,27
437,441,Europe-Africa,2015.0,Jan,29
438,440,Europe-Africa,2015.0,Feb,25
439,444,Europe-Africa,2015.0,Mar,32
440,437,Europe-Africa,2015.0,Apr,31
441,445,Europe-Africa,2015.0,May,35
442,443,Europe-Africa,2015.0,Jun,45
443,442,Europe-Africa,2015.0,Jul,47
444,438,Europe-Africa,2015.0,Aug,55
445,448,Europe-Africa,2015.0,Sep,42
446,447,Europe-Africa,2015.0,Oct,57
447,446,Europe-Africa,2015.0,Nov,77
448,439,Europe-Africa,2015.0,Dec,66
449,453,Europe-Africa,2016.0,Jan,75
450,452,Europe-Africa,2016.0,Feb,58
451,456,Europe-Africa,2016.0,Mar,97
452,449,Europe-Africa,2016.0,Apr,84
453,457,Europe-Africa,2016.0,May,103
454,455,Europe-Africa,2016.0,Jun,105
455,454,Europe-Africa,2016.0,Jul,162
456,450,Europe-Africa,2016.0,Aug,246
457,460,Europe-Africa,2016.0,Sep,308
458,459,Europe-Africa,2016.0,Oct,483
459,458,Europe-Africa,2016.0,Nov,622
460,451,Europe-Africa,2016.0,Dec,753
461,465,Europe-Africa,2017.0,Jan,998
462,464,Europe-Africa,2017.0,Feb,940
463,468,Europe-Africa,2017.0,Mar,1258
464,461,Europe-Africa,2017.0,Apr,1588
465,469,Europe-Africa,2017.0,May,1586
466,467,Europe-Africa,2017.0,Jun,1307
467,466,Europe-Africa,2017.0,Jul,906
468,462,Europe-Africa,2017.0,Aug,584
469,472,Europe-Africa,2017.0,Sep,429
470,471,Europe-Africa,2017.0,Oct,429
471,470,Europe-Africa,2017.0,Nov,416
