,index,od,month,counts,direction
0,4,Europe-Africa,Jan,53,NS
1,3,Europe-Africa,Feb,34,NS
2,7,Europe-Africa,Mar,5,NS
3,0,Europe-Africa,Apr,7,NS
4,8,Europe-Africa,May,22,NS
5,6,Europe-Africa,Jun,160,NS
6,5,Europe-Africa,Jul,895,NS
7,1,Europe-Africa,Aug,2777,NS
8,11,Europe-Africa,Sep,4845,NS
9,10,Europe-Africa,Oct,7683,NS
10,9,Europe-Africa,Nov,8422,NS
11,2,Europe-Africa,Dec,158,NS
12,16,Europe-CA,Jan,521,NS
13,15,Europe-CA,Feb,434,NS
14,19,Europe-CA,Mar,533,NS
15,12,Europe-CA,Apr,1811,NS
16,20,Europe-CA,May,6005,NS
17,18,Europe-CA,Jun,11973,NS
18,17,Europe-CA,Jul,19441,NS
19,13,Europe-CA,Aug,28684,NS
20,23,Europe-CA,Sep,39809,NS
21,22,Europe-CA,Oct,26944,NS
22,21,Europe-CA,Nov,183,NS
23,14,Europe-CA,Dec,310,NS
24,28,Europe-JapanKorea,Jan,3863,NS
25,27,Europe-JapanKorea,Feb,5793,NS
26,31,Europe-JapanKorea,Mar,9295,NS
27,24,Europe-JapanKorea,Apr,10848,NS
28,32,Europe-JapanKorea,May,11778,NS
29,30,Europe-JapanKorea,Jun,12027,NS
30,29,Europe-JapanKorea,Jul,13795,NS
31,25,Europe-JapanKorea,Aug,16846,NS
32,35,Europe-JapanKorea,Sep,36728,NS
33,34,Europe-JapanKorea,Oct,79466,NS
34,33,Europe-JapanKorea,Nov,40011,NS
35,26,Europe-JapanKorea,Dec,3568,NS
36,40,Europe-Qinghai,Jan,13678,NS
37,39,Europe-Qinghai,Feb,8994,NS
38,43,Europe-Qinghai,Mar,1370,NS
39,36,Europe-Qinghai,Apr,10,NS
40,44,Europe-Qinghai,May,13,NS
41,42,Europe-Qinghai,Jun,14,NS
42,41,Europe-Qinghai,Jul,26,NS
43,37,Europe-Qinghai,Aug,54,NS
44,47,Europe-Qinghai,Sep,65,NS
45,46,Europe-Qinghai,Oct,381,NS
46,45,Europe-Qinghai,Nov,1811,NS
47,38,Europe-Qinghai,Dec,7510,NS
48,52,Europe-Russia,Jan,126782,SN
49,51,Europe-Russia,Feb,30652,SN
50,55,Europe-Russia,Mar,15297,SN
51,48,Europe-Russia,Apr,52415,SN
52,56,Europe-Russia,May,52770,SN
53,54,Europe-Russia,Jun,19634,SN
54,53,Europe-Russia,Jul,64407,SN
55,49,Europe-Russia,Aug,151224,SN
56,59,Europe-Russia,Sep,116431,SN
57,58,Europe-Russia,Oct,55567,SN
58,57,Europe-Russia,Nov,54385,SN
59,50,Europe-Russia,Dec,92723,SN
60,64,JapanKorea-Europe,Jan,2123,SN
61,63,JapanKorea-Europe,Feb,9956,SN
62,67,JapanKorea-Europe,Mar,18148,SN
63,60,JapanKorea-Europe,Apr,16474,SN
64,68,JapanKorea-Europe,May,14224,SN
65,66,JapanKorea-Europe,Jun,10259,SN
66,65,JapanKorea-Europe,Jul,6271,SN
67,61,JapanKorea-Europe,Aug,2380,SN
68,71,JapanKorea-Europe,Sep,560,SN
69,70,JapanKorea-Europe,Oct,834,SN
70,69,JapanKorea-Europe,Nov,1381,SN
71,62,JapanKorea-Europe,Dec,1660,SN
72,76,JapanKorea-SChina,Jan,30737,NS
73,75,JapanKorea-SChina,Feb,3712,NS
74,79,JapanKorea-SChina,Mar,3338,NS
75,72,JapanKorea-SChina,Apr,3794,NS
76,80,JapanKorea-SChina,May,6340,NS
77,78,JapanKorea-SChina,Jun,11936,NS
78,77,JapanKorea-SChina,Jul,21410,NS
79,73,JapanKorea-SChina,Aug,38186,NS
80,83,JapanKorea-SChina,Sep,81541,NS
81,82,JapanKorea-SChina,Oct,126019,NS
82,81,JapanKorea-SChina,Nov,91983,NS
83,74,JapanKorea-SChina,Dec,34510,NS
84,88,JapanKorea-USAandCanada,Jan,95,SN
85,87,JapanKorea-USAandCanada,Feb,567,SN
86,91,JapanKorea-USAandCanada,Mar,1014,SN
87,84,JapanKorea-USAandCanada,Apr,1988,SN
88,92,JapanKorea-USAandCanada,May,6208,SN
89,90,JapanKorea-USAandCanada,Jun,12849,SN
90,89,JapanKorea-USAandCanada,Jul,19079,SN
91,85,JapanKorea-USAandCanada,Aug,23853,SN
92,95,JapanKorea-USAandCanada,Sep,23718,SN
93,94,JapanKorea-USAandCanada,Oct,9416,SN
94,93,JapanKorea-USAandCanada,Nov,872,SN
95,86,JapanKorea-USAandCanada,Dec,45,SN
96,100,NChina-Europe,Jan,4939,SN
97,99,NChina-Europe,Feb,2340,SN
98,103,NChina-Europe,Mar,1810,SN
99,96,NChina-Europe,Apr,883,SN
100,104,NChina-Europe,May,874,SN
101,102,NChina-Europe,Jun,1245,SN
102,101,NChina-Europe,Jul,1759,SN
103,97,NChina-Europe,Aug,2549,SN
104,107,NChina-Europe,Sep,3796,SN
105,106,NChina-Europe,Oct,6756,SN
106,105,NChina-Europe,Nov,8737,SN
