,index,od,month,counts
0,4,CA-Mongolia,Jan,183
1,3,CA-Mongolia,Feb,156
2,7,CA-Mongolia,Mar,186
3,0,CA-Mongolia,Apr,159
4,8,CA-Mongolia,May,165
5,6,CA-Mongolia,Jun,135
6,5,CA-Mongolia,Jul,171
7,1,CA-Mongolia,Aug,138
8,11,CA-Mongolia,Sep,117
9,10,CA-Mongolia,Oct,126
10,9,CA-Mongolia,Nov,138
11,2,CA-Mongolia,Dec,114
12,16,JapanKorea-Mongolia,Jan,363
13,15,JapanKorea-Mongolia,Feb,360
14,19,JapanKorea-Mongolia,Mar,291
15,12,JapanKorea-Mongolia,Apr,324
16,20,JapanKorea-Mongolia,May,312
17,18,JapanKorea-Mongolia,Jun,330
18,17,JapanKorea-Mongolia,Jul,372
19,13,JapanKorea-Mongolia,Aug,426
20,23,JapanKorea-Mongolia,Sep,396
21,22,JapanKorea-Mongolia,Oct,405
22,21,JapanKorea-Mongolia,Nov,411
23,14,JapanKorea-Mongolia,Dec,369
24,28,JapanKorea-Russia,Jan,576
25,27,JapanKorea-Russia,Feb,576
26,31,JapanKorea-Russia,Mar,1026
27,24,JapanKorea-Russia,Apr,1479
28,32,JapanKorea-Russia,May,1347
29,30,JapanKorea-Russia,Jun,1281
30,29,JapanKorea-Russia,Jul,1299
31,25,JapanKorea-Russia,Aug,1236
32,35,JapanKorea-Russia,Sep,1128
33,34,JapanKorea-Russia,Oct,1311
34,33,JapanKorea-Russia,Nov,909
35,26,JapanKorea-Russia,Dec,714
36,40,Mongolia-Africa,Jan,936
37,39,Mongolia-Africa,Feb,876
38,43,Mongolia-Africa,Mar,828
39,36,Mongolia-Africa,Apr,741
40,44,Mongolia-Africa,May,774
41,42,Mongolia-Africa,Jun,618
42,41,Mongolia-Africa,Jul,657
43,37,Mongolia-Africa,Aug,855
44,47,Mongolia-Africa,Sep,744
45,46,Mongolia-Africa,Oct,969
46,45,Mongolia-Africa,Nov,930
47,38,Mongolia-Africa,Dec,996
48,52,Mongolia-CA,Jan,2976
49,51,Mongolia-CA,Feb,2529
50,55,Mongolia-CA,Mar,2772
51,48,Mongolia-CA,Apr,2724
52,56,Mongolia-CA,May,2631
53,54,Mongolia-CA,Jun,2229
54,53,Mongolia-CA,Jul,2154
55,49,Mongolia-CA,Aug,1914
56,59,Mongolia-CA,Sep,2127
57,58,Mongolia-CA,Oct,2418
58,57,Mongolia-CA,Nov,2544
59,50,Mongolia-CA,Dec,2481
60,64,Mongolia-Europe,Jan,1032
61,63,Mongolia-Europe,Feb,1059
62,67,Mongolia-Europe,Mar,1107
63,60,Mongolia-Europe,Apr,1137
64,68,Mongolia-Europe,May,1206
65,66,Mongolia-Europe,Jun,1137
66,65,Mongolia-Europe,Jul,933
67,61,Mongolia-Europe,Aug,870
68,71,Mongolia-Europe,Sep,768
69,70,Mongolia-Europe,Oct,840
70,69,Mongolia-Europe,Nov,864
71,62,Mongolia-Europe,Dec,987
72,76,Mongolia-JapanKorea,Jan,2046
73,75,Mongolia-JapanKorea,Feb,1749
74,79,Mongolia-JapanKorea,Mar,1818
75,72,Mongolia-JapanKorea,Apr,1629
76,80,Mongolia-JapanKorea,May,1812
77,78,Mongolia-JapanKorea,Jun,1896
78,77,Mongolia-JapanKorea,Jul,2322
79,73,Mongolia-JapanKorea,Aug,2460
80,83,Mongolia-JapanKorea,Sep,2277
81,82,Mongolia-JapanKorea,Oct,2469
82,81,Mongolia-JapanKorea,Nov,2253
83,74,Mongolia-JapanKorea,Dec,2058
84,88,Mongolia-NChina,Jan,387
85,87,Mongolia-NChina,Feb,351
86,91,Mongolia-NChina,Mar,339
87,84,Mongolia-NChina,Apr,285
88,92,Mongolia-NChina,May,342
89,90,Mongolia-NChina,Jun,318
90,89,Mongolia-NChina,Jul,201
91,85,Mongolia-NChina,Aug,195
92,95,Mongolia-NChina,Sep,303
93,94,Mongolia-NChina,Oct,330
94,93,Mongolia-NChina,Nov,387
95,86,Mongolia-NChina,Dec,327
96,100,Mongolia-Qinghai,Jan,4716
97,99,Mongolia-Qinghai,Feb,3576
98,103,Mongolia-Qinghai,Mar,4659
99,96,Mongolia-Qinghai,Apr,5946
100,104,Mongolia-Qinghai,May,6975
101,102,Mongolia-Qinghai,Jun,7203
102,101,Mongolia-Qinghai,Jul,7161
103,97,Mongolia-Qinghai,Aug,7095
104,107,Mongolia-Qinghai,Sep,6777
105,106,Mongolia-Qinghai,Oct,6720
106,105,Mongolia-Qinghai,Nov,6171
107,98,Mongolia-Qinghai,Dec,4995
108,112,Mongolia-Russia,Jan,6333
109,111,Mongolia-Russia,Feb,4860
110,115,Mongolia-Russia,Mar,5022
111,108,Mongolia-Russia,Apr,4497
112,116,Mongolia-Russia,May,5133
113,114,Mongolia-Russia,Jun,6933
114,113,Mongolia-Russia,Jul,7950
115,109,Mongolia-Russia,Aug,7581
116,119,Mongolia-Russia,Sep,6945
117,118,Mongolia-Russia,Oct,7206
118,117,Mongolia-Russia,Nov,6366
119,110,Mongolia-Russia,Dec,6006
120,124,Mongolia-WA,Jan,2766
121,123,Mongolia-WA,Feb,2262
122,127,Mongolia-WA,Mar,2454
123,120,Mongolia-WA,Apr,2187
124,128,Mongolia-WA,May,2247
125,126,Mongolia-WA,Jun,2253
126,125,Mongolia-WA,Jul,2457
127,121,Mongolia-WA,Aug,2529
128,131,Mongolia-WA,Sep,2418
129,130,Mongolia-WA,Oct,2643
130,129,Mongolia-WA,Nov,2631
131,122,Mongolia-WA,Dec,2787
132,136,NChina-Qinghai,Jan,345
133,135,NChina-Qinghai,Feb,324
134,139,NChina-Qinghai,Mar,396
135,132,NChina-Qinghai,Apr,336
136,140,NChina-Qinghai,May,366
137,138,NChina-Qinghai,Jun,363
138,137,NChina-Qinghai,Jul,327
139,133,NChina-Qinghai,Aug,285
140,143,NChina-Qinghai,Sep,255
141,142,NChina-Qinghai,Oct,402
142,141,NChina-Qinghai,Nov,279
143,134,NChina-Qinghai,Dec,306
144,148,NChina-SChina,Jan,1572
145,147,NChina-SChina,Feb,1356
146,151,NChina-SChina,Mar,1542
147,144,NChina-SChina,Apr,1575
148,152,NChina-SChina,May,1605
149,150,NChina-SChina,Jun,1458
150,149,NChina-SChina,Jul,1542
151,145,NChina-SChina,Aug,1629
