,index,od,month,counts
0,4,Africa-Europe,Jan,10296
1,3,Africa-Europe,Feb,1278
2,7,Africa-Europe,Mar,1269
3,0,Africa-Europe,Apr,1644
4,8,Africa-Europe,May,1566
5,6,Africa-Europe,Jun,1629
6,5,Africa-Europe,Jul,1416
7,1,Africa-Europe,Aug,1242
8,11,Africa-Europe,Sep,1146
9,10,Africa-Europe,Oct,1308
10,9,Africa-Europe,Nov,762
11,2,Africa-Europe,Dec,3453
12,16,Africa-Russia,Jan,18327
13,15,Africa-Russia,Feb,14946
14,19,Africa-Russia,Mar,8811
15,12,Africa-Russia,Apr,5202
16,20,Africa-Russia,May,5232
17,18,Africa-Russia,Jun,5130
18,17,Africa-Russia,Jul,5745
19,13,Africa-Russia,Aug,5676
20,23,Africa-Russia,Sep,4509
21,22,Africa-Russia,Oct,3321
22,21,Africa-Russia,Nov,4194
23,14,Africa-Russia,Dec,9837
24,28,CA-JapanKorea,Jan,66
25,27,CA-JapanKorea,Feb,141
26,31,CA-JapanKorea,Mar,861
27,24,CA-JapanKorea,Apr,2688
28,32,CA-JapanKorea,May,4197
29,30,CA-JapanKorea,Jun,2730
30,29,CA-JapanKorea,Jul,735
31,25,CA-JapanKorea,Aug,99
32,35,CA-JapanKorea,Sep,99
33,34,CA-JapanKorea,Oct,174
34,33,CA-JapanKorea,Nov,129
35,26,CA-JapanKorea,Dec,60
36,40,CA-Mongolia,Jan,16752
37,39,CA-Mongolia,Feb,10080
38,43,CA-Mongolia,Mar,8562
39,36,CA-Mongolia,Apr,1485
40,44,CA-Mongolia,May,714
41,42,CA-Mongolia,Jun,1707
42,41,CA-Mongolia,Jul,4260
43,37,CA-Mongolia,Aug,4770
44,47,CA-Mongolia,Sep,552
45,46,CA-Mongolia,Oct,135
46,45,CA-Mongolia,Nov,852
47,38,CA-Mongolia,Dec,6492
48,52,Europe-Africa,Jan,26190
49,51,Europe-Africa,Feb,13683
50,55,Europe-Africa,Mar,11745
51,48,Europe-Africa,Apr,11394
52,56,Europe-Africa,May,10293
53,54,Europe-Africa,Jun,8253
54,53,Europe-Africa,Jul,6075
55,49,Europe-Africa,Aug,5565
56,59,Europe-Africa,Sep,9309
57,58,Europe-Africa,Oct,21747
58,57,Europe-Africa,Nov,17718
59,50,Europe-Africa,Dec,16752
60,64,Europe-JapanKorea,Jan,4281
61,63,Europe-JapanKorea,Feb,1962
62,67,Europe-JapanKorea,Mar,2655
63,60,Europe-JapanKorea,Apr,4149
64,68,Europe-JapanKorea,May,5604
65,66,Europe-JapanKorea,Jun,5475
66,65,Europe-JapanKorea,Jul,5196
67,61,Europe-JapanKorea,Aug,5124
68,71,Europe-JapanKorea,Sep,7362
69,70,Europe-JapanKorea,Oct,10401
70,69,Europe-JapanKorea,Nov,9174
71,62,Europe-JapanKorea,Dec,8298
72,76,Europe-USAandCanada,Jan,396
73,75,Europe-USAandCanada,Feb,69
74,79,Europe-USAandCanada,Mar,78
75,72,Europe-USAandCanada,Apr,216
76,80,Europe-USAandCanada,May,492
77,78,Europe-USAandCanada,Jun,492
78,77,Europe-USAandCanada,Jul,600
79,73,Europe-USAandCanada,Aug,693
80,83,Europe-USAandCanada,Sep,1914
81,82,Europe-USAandCanada,Oct,4848
82,81,Europe-USAandCanada,Nov,4944
83,74,Europe-USAandCanada,Dec,1191
84,88,Europe-WA,Jan,3582
85,87,Europe-WA,Feb,2952
86,91,Europe-WA,Mar,3279
87,84,Europe-WA,Apr,2235
88,92,Europe-WA,May,2367
89,90,Europe-WA,Jun,3117
90,89,Europe-WA,Jul,4473
91,85,Europe-WA,Aug,6894
92,95,Europe-WA,Sep,9564
93,94,Europe-WA,Oct,13938
94,93,Europe-WA,Nov,16689
95,86,Europe-WA,Dec,10395
96,100,JapanKorea-NChina,Jan,35838
97,99,JapanKorea-NChina,Feb,14310
98,103,JapanKorea-NChina,Mar,8397
99,96,JapanKorea-NChina,Apr,3786
100,104,JapanKorea-NChina,May,1806
101,102,JapanKorea-NChina,Jun,1353
102,101,JapanKorea-NChina,Jul,2136
103,97,JapanKorea-NChina,Aug,6876
104,107,JapanKorea-NChina,Sep,10728
105,106,JapanKorea-NChina,Oct,6981
106,105,JapanKorea-NChina,Nov,20202
107,98,JapanKorea-NChina,Dec,38511
108,112,JapanKorea-Russia,Jan,4533
109,111,JapanKorea-Russia,Feb,9519
110,115,JapanKorea-Russia,Mar,8817
111,108,JapanKorea-Russia,Apr,4728
112,116,JapanKorea-Russia,May,8016
113,114,JapanKorea-Russia,Jun,11658
114,113,JapanKorea-Russia,Jul,9642
115,109,JapanKorea-Russia,Aug,3234
