,od,birdorder,birdloc,avgCorr,quant025,quant50,quant975,pval,birdloc_lab
80,Europe-Africa,Ciconiifor,ori,-0.467311234,-0.650310713,-0.470969031,-0.285458585,3.58E-05,origin
553,WA-Africa,Passerifor,dest,0.521778577,0.328204361,0.496747813,0.788207973,5.38E-05,destination
178,JapanKorea-Russia,Pelecanifor,ori,-0.322801376,-0.461236282,-0.43571945,-0.027914369,8.96E-05,origin
147,JapanKorea-NChina,Anserifor,dest,-0.411486472,-0.546623455,-0.379974555,-0.272888765,0.00046595,destination
341,Russia-NChina,Sulifor,dest,-0.517854061,-0.623351343,-0.538612429,-0.358316715,0.001612903,destination
181,JapanKorea-SChina,Accipitrifor,dest,-0.249516043,-0.453756561,-0.252403845,-0.071725579,0.002150538,destination
442,SEA-JapanKorea,Falconifor,ori,-0.374539872,-0.65492759,-0.316873075,-0.255115222,0.002419355,origin
359,Russia-SChina,Sulifor,dest,-0.352051588,-0.416947147,-0.363965544,-0.159356628,0.003100358,destination
547,WA-Africa,Ciconiifor,dest,0.46160849,0.160963082,0.47405743,0.61966334,0.00311828,destination
88,Europe-Africa,Pelecanifor,ori,-0.506477404,-0.712709378,-0.548799481,-0.164461438,0.003154122,origin
336,Russia-NChina,Gruifor,ori,0.420455889,0.207052268,0.391039824,0.841512232,0.003261649,origin
330,Russia-NChina,Charadriifor,ori,0.352215006,0.121664876,0.317352157,0.798136776,0.003458781,origin
342,Russia-NChina,Sulifor,ori,-0.4018715,-0.8314948,-0.372271137,-0.15767934,0.004390681,origin
188,JapanKorea-SChina,Ciconiifor,ori,-0.316221378,-0.409143671,-0.329105402,-0.025142011,0.004874552,origin
335,Russia-NChina,Gruifor,dest,-0.252313867,-0.550622834,-0.233142931,-0.082540662,0.006505376,destination
26,Africa-Russia,Ciconiifor,ori,0.654392564,0.247905823,0.668746278,0.921708835,0.007706093,origin
326,Russia-NChina,Accipitrifor,ori,0.465960664,0.227569866,0.444677018,0.881014652,0.008172043,origin
331,Russia-NChina,Ciconiifor,dest,0.463511339,0.25859621,0.453075503,0.77506204,0.00827957,destination
53,CA-JapanKorea,Sulifor,dest,-0.26458634,-0.799878119,-0.121775744,-0.109754048,0.008530466,destination
334,Russia-NChina,Falconifor,ori,-0.375903081,-0.800815847,-0.351172426,-0.151447564,0.0090681,origin
499,USAandCanada-Europe,Passerifor,dest,-0.311159891,-0.527313054,-0.280989787,-0.088946378,0.009139785,destination
196,JapanKorea-SChina,Pelecanifor,ori,-0.272305391,-0.676698568,-0.239549725,-0.039339366,0.009157706,origin
156,JapanKorea-NChina,Gruifor,ori,-0.048010469,-0.360062885,-0.027728112,-0.002839893,0.009247312,origin
338,Russia-NChina,Passerifor,ori,0.386616072,0.173766807,0.359647782,0.838875083,0.009283154,origin
332,Russia-NChina,Ciconiifor,ori,0.223869258,0.033237128,0.20378109,0.530668199,0.010125448,origin
328,Russia-NChina,Anserifor,ori,0.378374249,0.213384032,0.367508816,0.690975298,0.010878136,origin
