,od,birdorder,birdloc,avgCorr,quant025,quant50,quant975,pval,birdloc_lab
112,JapanKorea-SChina,Anserifor,ori,-0.260533757,-0.50689529,-0.224354301,-0.125167634,2.78E-05,origin
308,SChina-SEA,Accipitrifor,ori,-0.432014632,-0.644850604,-0.450848821,-0.198860699,5.56E-05,origin
97,JapanKorea-Europe,Ciconiifor,dest,-0.232481776,-0.468285644,-0.183943507,-0.144443844,0.000277778,destination
290,SChina-NChina,Accipitrifor,ori,-0.344794322,-0.613882945,-0.330147692,-0.153267796,0.000277778,origin
292,SChina-NChina,Anserifor,ori,0.554739736,0.383915865,0.540912454,0.825250433,0.000277778,origin
313,SChina-SEA,Ciconiifor,dest,0.570820385,0.198676819,0.578427765,0.917427047,0.000638889,destination
293,SChina-NChina,Charadriifor,dest,-0.393274738,-0.679765118,-0.381494911,-0.195138309,0.000666667,destination
296,SChina-NChina,Ciconiifor,ori,0.440118163,0.246217921,0.440927843,0.607711146,0.000666667,origin
310,SChina-SEA,Anserifor,ori,0.544145872,0.193233262,0.534482556,0.867752054,0.000666667,origin
348,USAandCanada-JapanKorea,Charadriifor,ori,0.190304429,0.09196046,0.175923867,0.34407988,0.000666667,origin
301,SChina-NChina,Passerifor,dest,-0.455420711,-0.714205507,-0.455499332,-0.272590318,0.000694444,destination
105,JapanKorea-Europe,Pelecanifor,dest,-0.206197732,-0.735273139,-0.062560601,-0.011694714,0.000722222,destination
321,SChina-SEA,Pelecanifor,dest,0.477011983,0.122139514,0.48885713,0.805712441,0.00075,destination
311,SChina-SEA,Charadriifor,dest,0.530768037,0.126353651,0.54243067,0.907290246,0.000916667,destination
289,SChina-NChina,Accipitrifor,dest,-0.536399487,-0.723043012,-0.53415358,-0.335698987,0.000944444,destination
104,JapanKorea-Europe,Passerifor,ori,-0.23981013,-0.765050193,-0.120892552,-0.067127062,0.001111111,origin
319,SChina-SEA,Passerifor,dest,0.556364879,0.327899601,0.560120354,0.781186053,0.001194444,destination
295,SChina-NChina,Ciconiifor,dest,-0.589554013,-0.764575981,-0.640543228,-0.220172188,0.002055556,destination
312,SChina-SEA,Charadriifor,ori,0.705376154,0.272055341,0.75653579,0.936115147,0.002972222,origin
294,SChina-NChina,Charadriifor,ori,0.565594867,0.127993586,0.605937705,0.847419241,0.003833333,origin
303,SChina-NChina,Pelecanifor,dest,-0.339060365,-0.45439028,-0.348695224,-0.172416252,0.004666667,destination
260,Russia-Europe,Ciconiifor,ori,0.057757936,0.010208815,0.037695525,0.303424228,0.00525,origin
341,SEA-SChina,Sulifor,dest,-0.210337566,-0.333809189,-0.259769673,-0.006056318,0.005527778,destination
