"","birdorder","ori","dest","lag","corr","p"
"11","Passeriformes","Qinghai","Europe",1,0.877504201095222,0.00236763815527929
"02","Suliformes","Qinghai","Europe",0,0.92384091284703,0.00137294710908131
"05","Accipitriformes","JapanKorea","USAandCanada",0,0.922465132220728,0.00139582516657688
"08","Suliformes","SChina","SEA",0,0.912252925399174,0.00157695060870533
"16","Suliformes","SChina","SEA",1,0.820351762531424,0.00448621753338219
"010","Falconiformes","SChina","SEA",0,0.889875037289318,0.00205188670276568
"24","Suliformes","Europe","Qinghai",2,0.898546332285494,0.00185412119687633
"012","Anseriformes","NChina","SChina",0,0.826941536208826,0.00417523757363214
"114","Charadriiformes","Europe","Africa",1,0.886338483071316,0.00213796190418769
"115","Anseriformes","Europe","Africa",1,0.905035897633709,0.00171774271985914
"118","Charadriiformes","Russia","Africa",1,0.880901253684904,0.00227677191321307
"119","Anseriformes","Russia","Africa",1,0.937233815481554,0.00116762388859271
