"","birdorder","ori","dest","lag","corr","p"
"0","Suliformes","CA","Mongolia",0,0.89750938680542,0.00187681239384507
"1","Pelecaniformes","JapanKorea","Mongolia",1,0.813884508662117,0.00481167220013123
"02","Passeriformes","JapanKorea","Mongolia",0,0.826225435106298,0.00420805775550304
"04","Falconiformes","JapanKorea","Mongolia",0,0.863197938485278,0.00278789933922607
"05","Charadriiformes","JapanKorea","Mongolia",0,0.847511969298911,0.00332616274779141
"14","Charadriiformes","JapanKorea","Mongolia",1,0.815484376889088,0.00472923119203106
"06","Accipitriformes","JapanKorea","Mongolia",0,0.835682198504727,0.00379293772323286
"33","Ciconiiformes","Mongolia","CA",3,0.829211902387231,0.00407271216126759
"26","Charadriiformes","Mongolia","CA",2,0.872415852612431,0.002509967863078
"17","Accipitriformes","Mongolia","CA",1,0.873932684795587,0.00246674148662862
"110","Passeriformes","Mongolia","JapanKorea",1,0.896263818827492,0.00190440594596542
"212","Pelecaniformes","Mongolia","Russia",2,0.862331882640218,0.00281540617629328
"213","Gruiformes","Mongolia","Russia",2,0.811797448202625,0.00492117238097367
"216","Charadriiformes","Mongolia","Russia",2,0.830699651986552,0.00400677314083442
"218","Accipitriformes","Mongolia","Russia",2,0.806434340057053,0.00521296646191094
"020","Anseriformes","WA","Africa",0,0.805771307990189,0.00525010578182483
"124","Falconiformes","WA","CA",1,0.825647747942387,0.00423470453063901
