NAME	HostType	Lat	Long
148126/Wild_duck/China/2011-04-14/H5N1	Wild Anseriformes	35.8939566	117.9249002
157609/Breeder_duck/Korea/2014-01-16/H5N8	Domestic Anseriformes	35.907757	127.766922
157610/Breeder_duck/Korea/2014-01-17/H5N8	Domestic Anseriformes	35.907757	127.766922
157611/Baikal_teal/Korea/2014-01-17/H5N8	Wild Anseriformes	35.907757	127.766922
166630/Mallard/Korea/2014-02-05/H5N8	Wild Anseriformes	35.907757	127.766922
167140/Turkey/Germany/2014-11-04/H5N8	Domestic Galliformes	53.6126505	12.4295953
167178/Duck/China/2013-04-25/H5N8	Wild Anseriformes	35.8939566	117.9249002
169273/Turkey/Germany/2014-11-04/H5N8	Domestic Galliformes	53.6126505	12.4295953
169351/Turkey/Germany/2014-12-15/H5N8	Domestic Galliformes	52.6367036	9.8450766
169424/Chicken/Japan/2014-12-16/H5N8	Domestic Galliformes	31.9077285	131.4202196
169632/Domestic_duck/Germany/2014-12-18/H5N8	Domestic Anseriformes	52.6367036	9.8450766
169851/stork/Germany/2014-12/H5N8	Other wild species	53.6126505	12.4295953
170184/Chicken/Germany/2015-01/H5N8	Domestic Galliformes	53.6126505	12.4295953
171655/Water_fowl/Korea/2014-02-15/H5N8	Wild Anseriformes	35.907757	127.766922
171656/Breeder_duck/Korea/2014-01-18/H5N8	Domestic Anseriformes	35.907757	127.766922
171657/Breeder_duck/Korea/2014-01-19/H5N8	Domestic Anseriformes	35.907757	127.766922
171676/Breeder_duck/Korea/2014-01-20/H5N8	Domestic Anseriformes	35.907757	127.766922
171674/Baikal_teal/Korea/2014-01-19/H5N8	Wild Anseriformes	35.907757	127.766922
171675/Breeder_duck/Korea/2014-01-20/H5N8	Domestic Anseriformes	35.907757	127.766922
171677/Breeder_duck/Korea/2014-01-20/H5N8	Domestic Anseriformes	35.907757	127.766922
171695/Baikal_teal/Korea/2014-01-20/H5N8	Wild Anseriformes	35.907757	127.766922
171696/bean_Goose/Korea/2014-01-20/H5N8	Wild Anseriformes	35.907757	127.766922
171697/Baikal_teal/Korea/2014-01-21/H5N8	Wild Anseriformes	35.907757	127.766922
171698/Breeder_duck/Korea/2014-01-21/H5N8	Domestic Anseriformes	35.907757	127.766922
171699/Baikal_teal/Korea/2014-01-21/H5N8	Wild Anseriformes	35.907757	127.766922
171700/Baikal_teal/Korea/2014-01-22/H5N8	Wild Anseriformes	35.907757	127.766922
171701/Baikal_teal/Korea/2014-01-22/H5N8	Wild Anseriformes	35.907757	127.766922
171702/Coot/Korea/2014-01-22/H5N8	Other wild species	35.907757	127.766922
171703/Baikal_teal/Korea/2014-01-22/H5N8	Wild Anseriformes	35.907757	127.766922
171704/Baikal_teal/Korea/2014-01-23/H5N8	Wild Anseriformes	35.907757	127.766922
171705/Breeder_chicken/Korea/2014-01-24/H5N8	Domestic Galliformes	35.907757	127.766922
171706/Breeder_duck/Korea/2014-01-25/H5N8	Domestic Anseriformes	35.907757	127.766922
171707/Breeder_duck/Korea/2014-01-25/H5N8	Domestic Anseriformes	35.907757	127.766922
171708/Breeder_duck/Korea/2014-01-25/H5N8	Domestic Anseriformes	35.907757	127.766922
171709/Breeder_duck/Korea/2014-01-26/H5N8	Domestic Anseriformes	35.907757	127.766922
171710/Breeder_duck/Korea/2014-01-27/H5N8	Domestic Anseriformes	35.907757	127.766922
171711/Mallard/Korea/2014-01-27/H5N8	Wild Anseriformes	35.907757	127.766922
171712/White_fronted_goose/Korea/2014-01-28/H5N8	Wild Anseriformes	35.907757	127.766922
171713/Breeder_duck/Korea/2014-01-28/H5N8	Domestic Anseriformes	35.907757	127.766922
171714/Breeder_chicken/Korea/2014-01-28/H5N8	Domestic Galliformes	35.907757	127.766922
171715/Chicken/Korea/2014-01-28/H5N8	Domestic Galliformes	35.907757	127.766922
171716/Mallard/Korea/2014-01-29/H5N8	Wild Anseriformes	35.907757	127.766922
171717/bean_Goose/Korea/2014-02-01/H5N8	Wild Anseriformes	35.907757	127.766922
171718/Tundra_swan/Korea/2014-02-06/H5N8	Wild Anseriformes	35.907757	127.766922
171719/Common_teal/Korea/2014-02-08/H5N8	Wild Anseriformes	35.907757	127.766922
171720/Spot_billed_duck/Korea/2014-02-08/H5N8	Wild Anseriformes	35.907757	127.766922
171678/bean_Goose/Korea/2014-01-19/H5N8	Wild Anseriformes	35.907757	127.766922
172815/Ibis/Germany/2015-01/H5N8	Other wild species	53.6126505	12.4295953
173668/Guinea_fowl/United_States/2014-12-16/H5N8	Domestic Galliformes	43.80413	-120.5542
173878/Falcon/United_States/2014-12-08/H5N8	Other wild species	47.75107	-120.74013
174354/Breeder_chicken/Korea/2014-03-02/H5N8	Domestic Galliformes	36.5184	126.8
174355/Breeder_duck/Korea/2014-02-20/H5N8	Domestic Anseriformes	34.8679	126.991
174356/Chicken/Korea/2014-03-06/H5N8	Domestic Galliformes	35.907757	127.766922
174357/Breeder_duck/Korea/2014-03-10/H5N8	Domestic Anseriformes	34.8679	126.991
