# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Sep 29 22:52:04 CST 2019 [seed=1569768696745]
# -working -beagle 2.3.4.4fCS_empT/2.3.4.4fCS_empT.xml
state	joint	prior	likelihood	age(root)	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
0	-9124893.804729337	0.4155086672989201	-9124894.220238004	2008.7360400939351	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	1585.031308784238	-9124894.220238004
10000	-10266.610717560574	8.084511506755014	-10274.695229067329	2008.6495238063935	7.922473545348083E-5	3.343520472334919E-6	3.343520472334919E-6	7.736744136855117E-6	-0.13504996334631644	12856.809290537487	-5556.213868705177	-5556.213868705178	131654.51730095924	3407.572123839164	-10274.695229067329
20000	-10409.638449594151	8.372181128235272	-10418.010630722387	2006.017881427432	6.276098455407142E-5	2.5071840039790786E-6	2.5071840039790786E-6	5.493732665296109E-6	-0.13502294410436066	16229.346166332647	-7406.6139694613685	-7406.613969461368	185405.77165361235	3657.2154343210846	-10418.010630722387
30000	-10463.617524383499	8.23961822508905	-10471.857142608587	2007.765032558344	6.543747281391248E-5	-1.8847875173787672E-6	-1.8847875173787672E-6	6.7977184231509165E-6	0.08936501898860308	15404.788030580987	4271.249613549974	4271.249613549973	148292.46155917866	3479.230785301773	-10471.857142608587
40000	-10286.242605439296	8.278619002095486	-10294.521224441392	2008.432098884089	6.562733890290217E-5	1.4892937603725404E-6	1.4892937603725404E-6	6.253177781828303E-6	-0.07351696751206352	15320.354768617608	-3648.786194740942	-3648.786194740942	160787.70660168125	3558.0736638664885	-10294.521224441392
50000	-10102.746015238807	8.11782701971519	-10110.863842258523	2007.7786633595645	7.489694670894345E-5	1.4418096167667116E-6	1.4418096167667116E-6	7.544424134943936E-6	-0.06065447016150007	13400.980862551083	-2561.0520745035496	-2561.0520745035496	133037.66219361927	3471.990034928863	-10110.863842258523
60000	-10382.54832104481	8.195841174142753	-10390.744162218953	2008.4967613872457	7.876629109243432E-5	1.6936815341114828E-6	1.6936815341114828E-6	6.151268526608545E-6	-0.07694478871304394	12771.399384784645	-3516.458956263192	-3516.4589562631913	163536.31080292148	3744.7698200219143	-10390.744162218953
70000	-10124.299712988395	8.086588656249074	-10132.386301644645	2007.2180781441414	6.968949459129459E-5	2.206722432224366E-6	2.206722432224366E-6	8.669060464886214E-6	-0.08977967652757678	14465.96641373079	-3682.3335952361476	-3682.3335952361476	116290.0976675531	3116.586158013671	-10132.386301644645
80000	-10284.111273188348	8.234938312414098	-10292.346211500762	2007.9590683579972	6.823461531298325E-5	5.241506076672319E-7	5.241506076672319E-7	6.5318214740788796E-6	-0.02482770444445081	14664.357533489178	-1176.7516829311123	-1176.7516829311123	153191.08139751924	3466.551576435983	-10292.346211500762
90000	-10418.612836582824	8.274032962643197	-10426.886869545468	2005.2636057599177	6.442405893733423E-5	1.63255157790936E-6	1.63255157790936E-6	6.4352973689667075E-6	-0.08017861671631543	15622.58295438814	-3963.246916327259	-3963.246916327259	156398.39890856508	3489.5411736197616	-10426.886869545468
