od,count,mean,std,min,2.5%,25%,50%,75%,97.5%,max
SChina-JapanKorea,80970.0,69.14722706484046,48.282239237364124,0.001609853153468066,2.6970732176086476,29.427160130317134,61.89407426710602,101.4552974170823,177.0635964181647,326.6156023261817
SChina-NChina,81000.0,19.071110542443126,15.079447614385469,0.00015418422890434158,0.5791069928185381,6.5739380369583955,15.427702632217688,28.837858918663244,53.14557583476066,93.16977095183802
Qinghai-Europe,25546.0,102.84687709177936,123.56431033408398,0.0007884038620886713,2.6140268956113744,24.743209270108082,48.97646303099236,84.93207021989491,360.6274700371429,364.9894598758374
NChina-Europe,37260.0,230.60155084645356,119.09522005174873,0.010472479705185833,4.775997695127103,144.25650179937634,281.4172368255896,324.0425273612743,359.577034989271,364.99579899376954
JapanKorea-Europe,77027.0,112.31388112313095,49.81548984253914,0.04300447519995032,30.35732491681307,72.8368445591218,107.5655127107666,147.91333259561327,213.76393281125027,364.7720239197065
SEA-SChina,81000.0,69.31847357330547,58.30894326425519,0.00018472904457667028,1.7000845261805468,21.875851974161264,54.49358256279652,102.3714776989712,206.14391448932014,326.37490883476744
Europe-Russia,80996.0,19.889895126906612,37.64278379935443,1.122832031796861e-05,0.2927474434393673,2.6573026370442676,4.902833477254376,21.93012133610125,137.14262825913096,353.697068577884
JapanKorea-USAandCanada,77918.0,204.20384466978587,44.97800627198444,0.9837581347653668,97.09333108928473,176.66975263494152,210.69301680516162,239.0246691721785,269.05427673171107,363.46725671010404
NChina-JapanKorea,24993.0,159.45778304397336,87.01161243000588,0.001426854230430763,8.629416414859408,86.51618458803341,168.79406421189856,226.38924955497828,332.92224517963496,364.9762736713262
NChina-Qinghai,35767.0,242.16143430991374,120.96419482889172,0.00037753506035187456,4.030294789801645,200.78018228083295,294.6439796468519,330.4239186671714,360.8951522317817,364.9978766057427
USAandCanada-JapanKorea,49335.0,286.61621059206453,28.015343922520238,0.2652929572479934,220.42342580070357,273.99309228430525,291.31223561747106,306.3125200477981,319.53189232314276,364.8364644621006
Russia-Europe,16519.0,92.88144242343581,79.93869923161829,0.003145504118720055,1.5719913737886486,13.290729712377356,102.78873723237666,134.15670381867074,314.5601947995465,364.99529586609356
SChina-SEA,81000.0,18.07817940700105,13.226095899631892,0.0002180531589601742,0.6967401034873434,7.397023224355905,15.766895618515377,26.240499783982614,48.943976960041375,190.89569577788438
Europe-JapanKorea,80792.0,151.37289689671766,71.90264893067481,0.011079721160740519,18.519364923035255,95.37119471786866,151.48168474191777,207.3382045417037,279.0969233110141,360.18468929218784
Europe-Qinghai,33650.0,120.03930395059517,143.64317680497933,0.0006087260885578871,2.2767387316826273,20.459130741380704,39.195173030487354,325.45367741256484,362.67533722868995,364.99782574687515
NChina-SChina,73189.0,59.48646417822392,82.05921624790572,0.0003769694740185514,0.9785306107766019,11.413491618027365,28.957778823190665,63.92354068468194,336.70987118749275,364.9730192102163
JapanKorea-SChina,81000.0,131.89118253533093,100.67656282006226,0.00077943274163772,1.9808362825023667,21.43252287310986,158.7459667345729,226.17561768262675,274.37895247323723,301.64069442595974
Europe-CA,68440.0,203.73077175305843,48.09604391871155,0.02221199803102536,98.66853027779695,174.29750074106153,208.92286764475273,239.8560228519176,276.6691434717531,315.7141314449609
Europe-Africa,18286.0,273.9920041446249,40.37629784809936,0.7916175378261414,194.56631401888714,249.660814458355,279.91880500061256,304.28287972012214,329.0493682308228,363.21969082147916
Russia-Africa,74248.0,274.2788173940308,34.20651189424598,0.47584700635070476,202.2283420212287,252.13918693633303,278.7678266755654,300.98595762243093,324.58097468541683,339.2747223514789
