,origin_location,bird_order,correlation_coefficient,p_value
0,Africa,Accipitriformes,-0.5012205754459486,0.09690729678766614
1,Africa,Anseriformes,0.12220946058920579,0.7051592175336359
2,Africa,Charadriiformes,0.41012029971554176,0.18545632766535738
3,Africa,Ciconiiformes,-0.25360123352521846,0.4264164043899211
4,Africa,Falconiformes,-0.18165436288595407,0.5720537068861369
5,Africa,Gruiformes,-0.09878830214911509,0.7600239195450837
6,Africa,Passeriformes,0.20012626253576865,0.5328714752348138
7,Africa,Pelecaniformes,-0.16789800500967683,0.6019549112766838
8,Africa,Suliformes,-0.21802327054225284,0.49604160545454257
9,CA,Accipitriformes,0.3491085348872045,0.2660309213306768
10,CA,Anseriformes,-0.059413928688170706,0.8544720354790134
11,CA,Charadriiformes,-0.09837517253654161,0.7610016559752439
12,CA,Ciconiiformes,0.05143047257334138,0.873878136133715
13,CA,Falconiformes,-0.5403251377922564,0.06973507733722338
14,CA,Gruiformes,-0.12247999206694568,0.7045324314762097
15,CA,Passeriformes,0.17035402905092403,0.5965732247288422
16,CA,Pelecaniformes,0.4930090059578979,0.10340014393532455
17,CA,Suliformes,-0.6385213344668454,0.02543731230645114
18,Europe,Accipitriformes,0.12525854782476314,0.6981047031791403
19,Europe,Anseriformes,0.20401512616542058,0.5247712088807268
20,Europe,Charadriiformes,0.3147893917503652,0.31897003702495497
21,Europe,Ciconiiformes,0.27671412289641145,0.38392856432994577
22,Europe,Falconiformes,0.0070123346077049925,0.9827442141800415
23,Europe,Gruiformes,-0.16252147470671421,0.613799637371235
24,Europe,Passeriformes,-0.5901354461889169,0.04338834052069948
25,Europe,Pelecaniformes,0.5374437008800567,0.0715330180325944
26,Europe,Suliformes,-0.3097398791701965,0.327213690594797
27,JapanKorea,Accipitriformes,0.24023941132407994,0.4519827111747156
28,JapanKorea,Anseriformes,-0.26609341954247523,0.40317393599761625
29,JapanKorea,Charadriiformes,0.1646443782216311,0.6091124620498346
30,JapanKorea,Ciconiiformes,0.14111492192072514,0.661781883732345
31,JapanKorea,Falconiformes,-0.5638582859503648,0.05620206430523837
32,JapanKorea,Gruiformes,0.35648962315661215,0.2553573597309685
33,JapanKorea,Passeriformes,0.5602110356147494,0.05816810622100422
34,JapanKorea,Pelecaniformes,-0.26782682976392497,0.40000025063262545
