,index,od,month,counts
0,4,Europe-Africa,Jan,53
1,3,Europe-Africa,Feb,34
2,7,Europe-Africa,Mar,5
3,0,Europe-Africa,Apr,7
4,8,Europe-Africa,May,22
5,6,Europe-Africa,Jun,160
6,5,Europe-Africa,Jul,895
7,1,Europe-Africa,Aug,2777
8,11,Europe-Africa,Sep,4845
9,10,Europe-Africa,Oct,7683
10,9,Europe-Africa,Nov,8422
11,2,Europe-Africa,Dec,158
12,16,Europe-CA,Jan,521
13,15,Europe-CA,Feb,434
14,19,Europe-CA,Mar,533
15,12,Europe-CA,Apr,1811
16,20,Europe-CA,May,6005
17,18,Europe-CA,Jun,11973
18,17,Europe-CA,Jul,19441
19,13,Europe-CA,Aug,28684
20,23,Europe-CA,Sep,39809
21,22,Europe-CA,Oct,26944
22,21,Europe-CA,Nov,183
23,14,Europe-CA,Dec,310
24,28,Europe-JapanKorea,Jan,3863
25,27,Europe-JapanKorea,Feb,5793
26,31,Europe-JapanKorea,Mar,9295
27,24,Europe-JapanKorea,Apr,10848
28,32,Europe-JapanKorea,May,11778
29,30,Europe-JapanKorea,Jun,12027
30,29,Europe-JapanKorea,Jul,13795
31,25,Europe-JapanKorea,Aug,16846
32,35,Europe-JapanKorea,Sep,36728
33,34,Europe-JapanKorea,Oct,79466
34,33,Europe-JapanKorea,Nov,40011
35,26,Europe-JapanKorea,Dec,3568
36,40,Europe-Qinghai,Jan,13678
37,39,Europe-Qinghai,Feb,8994
38,43,Europe-Qinghai,Mar,1370
39,36,Europe-Qinghai,Apr,10
40,44,Europe-Qinghai,May,13
41,42,Europe-Qinghai,Jun,14
42,41,Europe-Qinghai,Jul,26
43,37,Europe-Qinghai,Aug,54
44,47,Europe-Qinghai,Sep,65
45,46,Europe-Qinghai,Oct,381
46,45,Europe-Qinghai,Nov,1811
47,38,Europe-Qinghai,Dec,7510
48,52,Europe-Russia,Jan,126782
49,51,Europe-Russia,Feb,30652
50,55,Europe-Russia,Mar,15297
51,48,Europe-Russia,Apr,52415
52,56,Europe-Russia,May,52770
53,54,Europe-Russia,Jun,19634
54,53,Europe-Russia,Jul,64407
55,49,Europe-Russia,Aug,151224
56,59,Europe-Russia,Sep,116431
57,58,Europe-Russia,Oct,55567
58,57,Europe-Russia,Nov,54385
59,50,Europe-Russia,Dec,92723
60,64,JapanKorea-Europe,Jan,2123
61,63,JapanKorea-Europe,Feb,9956
62,67,JapanKorea-Europe,Mar,18148
63,60,JapanKorea-Europe,Apr,16474
64,68,JapanKorea-Europe,May,14224
65,66,JapanKorea-Europe,Jun,10259
66,65,JapanKorea-Europe,Jul,6271
