,index,od,month,treeNumber,dateinyear,days
0,4,Europe-Africa,Jan,53,53,53
1,3,Europe-Africa,Feb,34,34,34
2,7,Europe-Africa,Mar,5,5,5
3,0,Europe-Africa,Apr,7,7,7
4,8,Europe-Africa,May,22,22,22
5,6,Europe-Africa,Jun,159,159,159
6,5,Europe-Africa,Jul,887,887,887
7,1,Europe-Africa,Aug,2709,2709,2709
8,11,Europe-Africa,Sep,4300,4300,4300
9,10,Europe-Africa,Oct,5672,5672,5672
10,9,Europe-Africa,Nov,4352,4352,4352
11,2,Europe-Africa,Dec,86,86,86
12,15,Europe-CA,Jan,518,518,518
13,14,Europe-CA,Feb,428,428,428
14,18,Europe-CA,Mar,525,525,525
15,12,Europe-CA,Apr,1794,1794,1794
16,19,Europe-CA,May,5934,5934,5934
17,17,Europe-CA,Jun,11332,11332,11332
18,16,Europe-CA,Jul,15897,15897,15897
19,13,Europe-CA,Aug,17063,17063,17063
20,22,Europe-CA,Sep,12520,12520,12520
21,21,Europe-CA,Oct,2427,2427,2427
22,20,Europe-CA,Nov,2,2,2
23,27,Europe-JapanKorea,Jan,3837,3837,3837
24,26,Europe-JapanKorea,Feb,5706,5706,5706
25,30,Europe-JapanKorea,Mar,9127,9127,9127
26,23,Europe-JapanKorea,Apr,10557,10557,10557
27,31,Europe-JapanKorea,May,11359,11359,11359
28,29,Europe-JapanKorea,Jun,11031,11031,11031
29,28,Europe-JapanKorea,Jul,10889,10889,10889
30,24,Europe-JapanKorea,Aug,8781,8781,8781
31,34,Europe-JapanKorea,Sep,6629,6629,6629
32,33,Europe-JapanKorea,Oct,2765,2765,2765
33,32,Europe-JapanKorea,Nov,108,108,108
34,25,Europe-JapanKorea,Dec,3,3,3
35,39,Europe-Qinghai,Jan,13667,13667,13667
36,38,Europe-Qinghai,Feb,8969,8969,8969
37,42,Europe-Qinghai,Mar,1335,1335,1335
38,35,Europe-Qinghai,Apr,1,1,1
39,43,Europe-Qinghai,May,5,5,5
40,41,Europe-Qinghai,Jun,3,3,3
41,40,Europe-Qinghai,Jul,14,14,14
42,36,Europe-Qinghai,Aug,26,26,26
43,46,Europe-Qinghai,Sep,38,38,38
44,45,Europe-Qinghai,Oct,346,346,346
45,44,Europe-Qinghai,Nov,1775,1775,1775
46,37,Europe-Qinghai,Dec,7471,7471,7471
47,51,Europe-Russia,Jan,70012,70012,70012
48,50,Europe-Russia,Feb,5336,5336,5336
49,54,Europe-Russia,Mar,977,977,977
50,47,Europe-Russia,Apr,2070,2070,2070
51,55,Europe-Russia,May,646,646,646
52,53,Europe-Russia,Jun,225,225,225
53,52,Europe-Russia,Jul,724,724,724
54,48,Europe-Russia,Aug,937,937,937
55,58,Europe-Russia,Sep,62,62,62
56,57,Europe-Russia,Oct,1,1,1
57,56,Europe-Russia,Nov,4,4,4
58,49,Europe-Russia,Dec,2,2,2
59,63,JapanKorea-Europe,Jan,2103,2103,2103
60,62,JapanKorea-Europe,Feb,9740,9740,9740
